Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Banana,Total,state_address,street,Zip_Code
252,2022-03-09,23:42:39,Amanda,Nelson,Female,brian97@example.net,718-970-99677,Philippines,YES,"Orange,Strawberry,Peach,Banana,Apple",1.4,8.4,Mississippi, , 24185
454,2022-03-25,10:19:28,Sandra,Anderson,Male,rittersara@example.net,278-571-53097,Cape Verde,YES,"Banana,Cherry,Orange",1.8,4.6,Virginia, 321 Howard Rapid, 
123,2022-03-30,09:57:09,William,Mitchell,Female,omcclain@example.net,531-260-25428,Papua New Guinea,YES,"Banana,Peach",1.8,3.8,Mississippi, 379 John Bridge, 73012
332,2022-04-05,21:46:02,Patricia,Thomas,Male,skinnermikayla@example.net,408-329-28222,Kazakhstan,YES,"Apple,Banana",1.5,3.2,Colorado, , 61398
142,2022-04-21,16:44:49,Jennifer,Jackson,Female,feliciapayne@example.org,167-983-84604,Antarctica (the territory South of 60 deg S),YES,Banana,1.5,1.5,Louisiana, 32204 Douglas Trafficway, 70116
218,2022-05-08,23:57:23,Robert,Anderson,Male,kristin60@example.net,732-623-50812,Kyrgyz Republic,YES,"Orange,Banana,Grapes",1.5,5.7,Virginia, , 90979
267,2022-05-18,17:22:20,Jennifer,Anderson,Female,cody31@example.net,059-749-25813,France,YES,"Blueberry,Apple,Banana",1.8,6.2,Oregon, 69961 Tucker Lights Apt. 702, 23938
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",1.5,8.7,Florida, , 30282
467,2022-05-26,12:05:47,Elizabeth,King,Male,marksdylan@example.net,833-644-14965,Tajikistan,YES,"Pineapple,Banana,Strawberry",2.3,6.1,Arkansas, 544 Bradshaw Forge Suite 120, 31039
184,2022-07-12,04:09:00,Lisa,Parker,Male,jmcclure@example.net,548-159-71627,Martinique,YES,"Mango,Banana,Orange,Grapes,Pineapple",1.5,8.9,South Dakota, 5265 Rebecca Orchard, 48313
155,2022-08-17,00:16:43,Matthew,Smith,Female,ugomez@example.net,410-158-23283,Svalbard & Jan Mayen Islands,YES,"Strawberry,Grapes,Banana,Orange",2.3,8.6,California, , 36097
158,2022-09-12,00:52:57,Matthew,Nelson,Female,emily69@example.com,863-889-60229,Bahamas,YES,"Orange,Banana,Blueberry,Strawberry",1.8,6.3,Utah, 35481 Jones Drives Suite 295, 77020
392,2022-09-13,19:25:17,Lisa,King,Female,angela08@example.net,386-612-31387,Maldives,YES,Banana,2.6,2.6,Connecticut, 045 Rodriguez Estates Apt. 608, 01329
35,2022-10-16,23:04:43,Paul,Campbell,Male,juanandrews@example.org,934-296-21722,Bhutan,YES,"Peach,Apple,Banana,Cherry",2.2,9.1,Indiana, 156 Nancy Spring, 64625
236,2022-10-28,06:34:27,Edward,Miller,Female,nhammond@example.org,288-816-00368,Zambia,YES,"Banana,Orange,Blueberry",2.5,5.9,Oregon, , 46949
137,2023-03-09,16:58:52,Donald,Robinson,Male,kirkoconnor@example.net,835-142-08929,Suriname,YES,"Banana,Cherry,Apple,Peach",2.5,7.1,Colorado, 82605 Garza Station Suite 189, 
179,2023-03-10,22:16:59,Joshua,Rodriguez,Female,scotthaynes@example.org,566-496-61179,Lao People's Democratic Republic,YES,Banana,2.3,2.3,Wyoming, 4620 Shannon Avenue Apt. 836, 96900
187,2023-03-11,16:08:30,Donna,Hernandez,Male,gregory42@example.net,104-504-38130,Serbia,YES,"Peach,Mango,Banana,Pineapple",2.1,7.699999999999999,South Dakota, 52812 Luna Greens, 36018
466,2023-04-19,09:12:09,Kimberly,Anderson,Male,wdavis@example.net,471-977-19489,Cote d'Ivoire,YES,"Apple,Banana,Cherry",1.7,5.0,Vermont, 7652 Glenn Street Apt. 925, 
1,2023-04-25,16:35:06,Christopher,Turner,Male,rpayne@example.net,579-830-76270,Iceland,YES,"Apple,Banana,Pineapple",1.7,6.1,Texas, 8184 Soto Trail Suite 117, 58052
426,2023-05-15,22:35:20,Charles,Lopez,Female,ericpatterson@example.net,428-173-81624,Thailand,YES,"Pineapple,Banana,Grapes,Cherry",2.1,8.2,Kentucky, , 91174
235,2023-07-20,18:29:12,Linda,King,Female,richardalexander@example.org,225-202-05292,Uruguay,YES,"Pineapple,Banana,Peach,Cherry",1.6,7.6,New Jersey, 27465 Christopher Mills Suite 121, 72494
4,2023-09-02,20:31:51,Barbara,Young,Female,shawn89@example.net,968-667-32593,Moldova,YES,"Banana,Cherry,Mango,Pineapple",2.7,9.0,Nevada, 8491 Stone Lakes, 51243
177,2023-09-13,15:31:40,Mark,Roberts,Male,stephen01@example.com,830-392-90355,Paraguay,YES,"Blueberry,Mango,Peach,Grapes,Banana",2.6,9.6,Washington, , 96306
141,2023-09-23,07:54:07,Brian,Rodriguez,Female,odavis@example.org,447-560-62350,Greece,YES,"Banana,Strawberry",1.4,3.0,North Dakota, 5006 Jared Park Suite 624, 73164
32,2023-09-29,14:16:36,Susan,Perez,Female,larryhicks@example.org,758-603-99795,Venezuela,YES,"Banana,Blueberry,Mango",2.1,5.7,Missouri, , 03018
290,2023-09-29,15:27:29,Joshua,Lopez,Male,kimknight@example.net,357-653-52880,Gambia,YES,"Banana,Cherry,Apple",1.9,6.7,Michigan, , 
149,2023-10-07,21:36:08,John,Lewis,Female,meghanjacobs@example.com,840-819-76534,Colombia,YES,"Orange,Strawberry,Banana,Pineapple,Apple",2.1,10.7,North Dakota, , 61767
5,2023-10-27,23:31:40,Elizabeth,Jackson,Male,caroline66@example.net,666-914-70647,Aruba,YES,"Strawberry,Banana,Apple,Peach,Cherry",1.2,8.799999999999999,Ohio, 9506 Charles Via Suite 840, 
383,2023-11-23,05:11:23,Margaret,Carter,Female,obrown@example.org,958-165-79498,Somalia,YES,"Banana,Mango,Apple",1.8,5.5,Missouri, 6338 Jefferson Lodge, 20089
111,2023-11-28,22:08:11,Donna,Wright,Male,thomasmann@example.com,626-131-06523,Palestinian Territory,YES,"Orange,Cherry,Banana,Grapes",2.5,8.4,West Virginia, 270 Taylor Wall Suite 680, 69598
143,2023-12-10,15:54:35,James,Young,Male,briggs@example.com,648-647-81473,Monaco,YES,"Blueberry,Banana,Strawberry,Apple,Peach",2.7,9.8,Nebraska, 714 William Drives Suite 212, 43371
451,2023-12-27,06:14:02,Kevin,Lopez,Female,christopher56@example.net,609-305-70858,Seychelles,YES,"Mango,Strawberry,Orange,Grapes,Banana",1.4,9.5,Florida, , 13825
17,2023-12-27,14:25:48,Michael,Garcia,Male,michaelcook@example.net,399-158-74737,Palestinian Territory,YES,Banana,2.4,2.4,North Carolina, , 16937
15,2024-01-26,12:49:04,Thomas,White,Female,todddavis@example.com,137-303-23277,Norway,YES,"Banana,Orange",2.3,4.4,Washington, 95012 Tracie Extensions, 37374
118,2024-06-14,00:32:03,Brian,Thompson,Female,cfoster@example.org,684-818-28519,Palestinian Territory,YES,"Banana,Peach,Orange",2.3,5.6,Oregon, 10548 Felicia Route Apt. 439, 37370
219,2024-07-08,16:47:43,Elizabeth,Taylor,Male,zimmermanstacy@example.org,226-119-91419,Saint Barthelemy,YES,"Banana,Strawberry",2.1,3.7,Hawaii, 37678 Holder Turnpike Apt. 710, 
350,2024-09-15,01:27:09,Christopher,Carter,Female,egarcia@example.com,792-833-49230,Antarctica (the territory South of 60 deg S),YES,"Banana,Grapes,Strawberry,Pineapple",2.5,7.6,Kansas, , 91387
345,2024-10-18,19:01:12,Matthew,Walker,Male,rita69@example.net,213-932-26321,Cyprus,YES,"Banana,Apple,Cherry,Peach,Strawberry",2.0,9.3,Pennsylvania, , 55329
409,2024-11-24,07:28:27,Michelle,Green,Female,juanhaynes@example.com,934-376-93868,Pakistan,YES,"Banana,Strawberry,Cherry",1.3,4.1,Kentucky, 6111 Bryan Square Apt. 072, 
457,2024-12-08,00:03:13,Nancy,Martinez,Female,alvarezholly@example.com,370-778-60624,Saint Martin,YES,"Mango,Peach,Banana,Pineapple",2.6,8.0,Illinois, 2618 Carter Brook, 09199
434,2024-12-29,11:51:49,Jessica,Evans,Female,charlesalicia@example.com,125-444-18185,Ukraine,YES,"Orange,Apple,Grapes,Banana",1.8,7.1000000000000005,New Jersey, , 93722
