Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Cherry,Total,state_address,street,Zip_Code
121,2021-11-29,18:17:07,Michael,Taylor,Male,kyletaylor@example.org,012-324-35574,Timor-Leste,YES,"Cherry,Peach,Banana,Strawberry",1.4,7.0,Arkansas, 01482 Amanda Island Apt. 457, 90122
446,2021-12-01,05:12:36,Dorothy,Mitchell,Female,freed@example.com,362-683-42210,Bermuda,YES,"Cherry,Peach",1.3,3.6,Nebraska, , 86433
347,2021-12-02,15:42:29,Lisa,Wright,Female,froach@example.net,653-615-12433,Slovenia,YES,"Grapes,Strawberry,Cherry,Pineapple,Apple",1.9,9.3,North Carolina, , 63748
480,2021-12-22,09:28:41,Kimberly,White,Male,waltonmichael@example.org,561-785-85247,Zimbabwe,YES,"Cherry,Apple",2.6,4.7,Georgia, 537 Rebecca Terrace Suite 854, 
104,2021-12-27,01:05:36,Donna,Martin,Male,lynn79@example.net,167-257-17772,Maldives,YES,"Strawberry,Grapes,Cherry,Apple,Blueberry",1.4,9.8,New Hampshire, 1837 Martin Avenue Apt. 465, 57513
263,2022-01-06,11:34:08,Mary,Parker,Female,daniel19@example.com,068-122-37117,Heard Island and McDonald Islands,YES,"Mango,Cherry,Pineapple,Banana,Apple",2.7,9.7,Missouri, 575 Holmes Shores Suite 670, 
454,2022-03-25,10:19:28,Sandra,Anderson,Male,rittersara@example.net,278-571-53097,Cape Verde,YES,"Banana,Cherry,Orange",1.4,4.6,Virginia, 321 Howard Rapid, 
461,2022-04-05,01:29:41,Edward,Lopez,Male,tdawson@example.org,432-044-47614,Portugal,YES,"Apple,Orange,Blueberry,Cherry",1.9,9.7,Illinois, 13128 Anna Fork Suite 351, 51054
77,2022-05-07,09:58:53,Andrew,Taylor,Male,fmccann@example.org,914-923-40660,Kiribati,YES,"Pineapple,Grapes,Cherry,Strawberry",2.6,8.100000000000001,Arizona, , 
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",1.8,8.7,Florida, , 30282
250,2022-06-26,22:19:11,Mark,Mitchell,Female,allen96@example.org,860-111-98707,Bangladesh,YES,"Blueberry,Cherry,Orange",1.4,4.8,Arizona, , 47967
365,2022-07-13,16:06:41,Deborah,Roberts,Male,darrellsaunders@example.org,071-587-98549,Lao People's Democratic Republic,YES,"Cherry,Orange,Mango",2.3,7.0,Kentucky, , 71097
496,2022-08-15,06:44:40,Nancy,Johnson,Female,oneillsean@example.org,458-510-22239,Gambia,YES,"Blueberry,Cherry,Apple",2.5,6.5,Texas, 9356 Thompson Inlet Apt. 054, 09757
154,2022-08-23,01:55:07,Kevin,Smith,Male,glenntaylor@example.net,451-260-52830,India,YES,"Apple,Pineapple,Strawberry,Cherry,Peach",1.4,8.6,Vermont, 3704 Singh Path Apt. 673, 55306
41,2022-09-30,18:08:53,Nancy,Rodriguez,Male,wreed@example.net,301-218-36399,Bermuda,YES,"Orange,Grapes,Cherry",1.4,5.6,Kentucky, , 44077
35,2022-10-16,23:04:43,Paul,Campbell,Male,juanandrews@example.org,934-296-21722,Bhutan,YES,"Peach,Apple,Banana,Cherry",2.0,9.1,Indiana, 156 Nancy Spring, 64625
305,2022-11-16,04:49:10,Paul,Jackson,Female,michaelwilliams@example.net,959-017-31214,Seychelles,YES,"Grapes,Cherry,Strawberry,Pineapple,Peach",1.7,10.1,Kentucky, 6589 Gail Cove Suite 159, 31089
12,2022-11-20,21:51:01,Mary,Edwards,Male,amanda87@example.com,448-251-86980,Ghana,YES,"Cherry,Strawberry,Grapes,Blueberry",2.1,7.1000000000000005,Wisconsin, 0969 Clark Shore, 
239,2022-11-22,01:54:09,Emily,Roberts,Male,daniel48@example.com,545-156-72181,Zambia,YES,"Peach,Cherry,Orange",1.3,6.1,Nevada, 66925 Geoffrey Lodge Apt. 752, 27070
358,2022-12-04,15:09:49,Kimberly,Jones,Female,williamreeves@example.com,920-053-09843,Iraq,YES,"Cherry,Mango,Pineapple,Orange,Strawberry",1.3,9.9,Illinois, 2699 Derek Passage Suite 274, 74986
188,2022-12-08,08:36:46,Steven,Green,Male,scott21@example.net,236-380-00086,Fiji,YES,"Cherry,Orange",1.5,3.0,Kansas, 561 Autumn Extension, 
493,2023-01-30,23:37:41,Christopher,Taylor,Female,smithvicki@example.net,448-782-71835,Panama,YES,"Cherry,Apple",1.8,3.3,Tennessee, 360 Cassandra Haven Apt. 818, 32750
312,2023-01-31,08:23:09,Sarah,White,Male,ppaul@example.net,592-852-04078,Haiti,YES,"Blueberry,Peach,Pineapple,Cherry,Strawberry",2.6,10.1,Oregon, 56110 Johnson Springs, 59085
137,2023-03-09,16:58:52,Donald,Robinson,Male,kirkoconnor@example.net,835-142-08929,Suriname,YES,"Banana,Cherry,Apple,Peach",1.4,7.1,Colorado, 82605 Garza Station Suite 189, 
248,2023-03-24,11:23:05,Paul,Lewis,Female,wwilson@example.net,225-914-25342,Benin,YES,"Strawberry,Apple,Cherry,Grapes,Orange",1.8,8.6,Florida, , 
466,2023-04-19,09:12:09,Kimberly,Anderson,Male,wdavis@example.net,471-977-19489,Cote d'Ivoire,YES,"Apple,Banana,Cherry",1.6,5.0,Vermont, 7652 Glenn Street Apt. 925, 
426,2023-05-15,22:35:20,Charles,Lopez,Female,ericpatterson@example.net,428-173-81624,Thailand,YES,"Pineapple,Banana,Grapes,Cherry",1.5,8.2,Kentucky, , 91174
235,2023-07-20,18:29:12,Linda,King,Female,richardalexander@example.org,225-202-05292,Uruguay,YES,"Pineapple,Banana,Peach,Cherry",2.0,7.6,New Jersey, 27465 Christopher Mills Suite 121, 72494
384,2023-08-05,01:16:05,Brian,Wilson,Male,kimberlyhall@example.org,628-219-35252,El Salvador,YES,"Strawberry,Peach,Pineapple,Cherry",2.2,9.2,North Dakota, 588 Cross Mills Suite 791, 64504
289,2023-08-15,00:07:26,Steven,Collins,Male,wolfjesse@example.org,890-489-84321,Azerbaijan,YES,"Pineapple,Mango,Apple,Cherry",2.4,9.0,New Mexico, 552 Smith Mountain, 58088
4,2023-09-02,20:31:51,Barbara,Young,Female,shawn89@example.net,968-667-32593,Moldova,YES,"Banana,Cherry,Mango,Pineapple",1.4,9.0,Nevada, 8491 Stone Lakes, 51243
203,2023-09-14,04:21:47,Dorothy,Parker,Female,tdixon@example.net,493-936-90152,Northern Mariana Islands,YES,"Cherry,Apple",2.6,3.8,Arkansas, 4838 Andrea Estates Apt. 392, 86312
310,2023-09-25,18:41:53,William,Baker,Male,hutchinsonjennifer@example.org,006-382-80705,Saint Pierre and Miquelon,YES,"Apple,Cherry",1.3,3.6,Nebraska, 34607 Thomas Plaza Suite 753, 76724
290,2023-09-29,15:27:29,Joshua,Lopez,Male,kimknight@example.net,357-653-52880,Gambia,YES,"Banana,Cherry,Apple",2.5,6.7,Michigan, , 
96,2023-10-06,05:40:29,Christopher,Parker,Male,martin99@example.org,741-306-09144,Holy See (Vatican City State),YES,"Mango,Cherry,Strawberry,Apple",1.6,8.7,New Mexico, , 
5,2023-10-27,23:31:40,Elizabeth,Jackson,Male,caroline66@example.net,666-914-70647,Aruba,YES,"Strawberry,Banana,Apple,Peach,Cherry",2.1,8.799999999999999,Ohio, 9506 Charles Via Suite 840, 
111,2023-11-28,22:08:11,Donna,Wright,Male,thomasmann@example.com,626-131-06523,Palestinian Territory,YES,"Orange,Cherry,Banana,Grapes",1.5,8.4,West Virginia, 270 Taylor Wall Suite 680, 69598
396,2023-12-05,09:12:44,Nancy,Young,Male,aaronmoreno@example.org,624-931-67920,Comoros,YES,"Pineapple,Cherry",2.1,4.5,Louisiana, 3226 Evan Prairie Apt. 734, 62580
498,2023-12-23,20:29:47,Linda,Jackson,Female,jonathan11@example.org,869-943-27260,Netherlands Antilles,YES,"Cherry,Peach,Apple,Pineapple",2.0,8.3,Virginia, 069 Lauren Ways, 44018
226,2024-02-04,13:49:45,William,Davis,Male,xwalker@example.com,102-237-32111,Aruba,YES,"Pineapple,Blueberry,Cherry,Strawberry,Orange",1.9,9.4,Pennsylvania, 9859 Myers View Apt. 156, 
472,2024-02-07,23:09:25,James,King,Male,phanna@example.com,061-052-45363,Monaco,YES,"Cherry,Strawberry",2.5,5.0,New Jersey, 5967 Cobb Island, 
296,2024-02-16,13:53:10,Lisa,Martin,Female,hudsoncassandra@example.net,479-627-45435,Somalia,YES,"Cherry,Orange,Peach,Mango",2.0,7.9,Mississippi, 492 Tammy Road, 
225,2024-02-16,22:32:08,Andrew,Carter,Male,ohouse@example.net,330-032-69457,Yemen,YES,"Cherry,Orange,Blueberry,Pineapple,Grapes",1.2,10.2,Pennsylvania, , 
447,2024-02-28,00:51:00,Karen,Anderson,Male,crawfordwilliam@example.com,378-908-73504,Belarus,YES,"Pineapple,Cherry,Peach,Strawberry,Mango",1.3,10.400000000000002,Utah, 01117 Audrey Pines Suite 152, 23035
477,2024-03-04,21:25:36,Matthew,Rodriguez,Female,frenchemma@example.org,938-212-09626,Rwanda,YES,"Blueberry,Cherry,Mango,Pineapple",2.5,9.1,Washington, , 19502
306,2024-03-09,05:16:32,Donald,Baker,Female,fwheeler@example.net,153-394-36007,Botswana,YES,"Peach,Strawberry,Orange,Cherry,Grapes",2.5,9.6,Connecticut, 3605 Scott Green Suite 586, 
212,2024-04-26,19:59:15,Robert,Perez,Male,wandamack@example.com,397-141-56924,Croatia,YES,"Orange,Strawberry,Cherry,Peach",2.4,8.6,Oregon, 52363 Brandi Drive, 73129
146,2024-04-28,09:41:32,Elizabeth,Campbell,Male,smyers@example.com,654-423-05876,Ukraine,YES,"Cherry,Grapes,Pineapple,Apple",2.0,7.6,Alaska, 9564 Forbes Lane Apt. 537, 
71,2024-05-27,00:43:00,Paul,Martinez,Male,hmckinney@example.com,098-438-54981,Sudan,YES,Cherry,1.7,1.7,Tennessee, 864 Duran Circles Apt. 872, 51031
433,2024-06-10,15:48:53,Kevin,King,Female,michelevillanueva@example.net,330-317-45725,Congo,YES,"Pineapple,Cherry,Apple,Peach,Orange",1.7,9.4,Iowa, 1460 French Radial, 
47,2024-06-22,16:14:25,Andrew,Brown,Male,david53@example.com,106-324-29476,Antigua and Barbuda,YES,"Grapes,Strawberry,Blueberry,Cherry,Pineapple",2.3,8.4,Nevada, 14322 Mitchell Forges Apt. 254, 
157,2024-06-26,15:01:04,Barbara,Parker,Female,sethjackson@example.net,353-848-58120,Papua New Guinea,YES,Cherry,1.4,1.4,Illinois, , 25890
381,2024-09-08,15:42:53,Barbara,Johnson,Male,asmith@example.com,825-107-89343,Hungary,YES,"Grapes,Strawberry,Cherry",2.6,6.0,Montana, 7565 Angela Walk Apt. 476, 
385,2024-09-16,02:14:13,Deborah,Scott,Female,clarkejennifer@example.org,562-853-54223,Pakistan,YES,"Blueberry,Mango,Apple,Cherry",1.9,6.699999999999999,Alaska, 142 Dustin Skyway, 07183
151,2024-10-09,12:06:10,Kenneth,Phillips,Female,karen15@example.net,411-149-03980,Taiwan,YES,"Grapes,Cherry,Pineapple,Blueberry,Apple",2.0,9.6,Maryland, 5181 Julian Overpass, 
345,2024-10-18,19:01:12,Matthew,Walker,Male,rita69@example.net,213-932-26321,Cyprus,YES,"Banana,Apple,Cherry,Peach,Strawberry",1.3,9.3,Pennsylvania, , 55329
388,2024-11-06,09:11:43,Kevin,Campbell,Male,angelameyer@example.org,445-927-38901,Guernsey,YES,"Cherry,Grapes,Strawberry",1.8,6.1,South Carolina, , 37908
409,2024-11-24,07:28:27,Michelle,Green,Female,juanhaynes@example.com,934-376-93868,Pakistan,YES,"Banana,Strawberry,Cherry",1.3,4.1,Kentucky, 6111 Bryan Square Apt. 072, 
