Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Mango,Total,state_address,street,Zip_Code
448,2022-08-07,09:52:56,Carol,White,Female,christineshannon@example.com,735-499-54173,Pakistan,YES,"Mango,Pineapple",2.7,5.300000000000001,Utah, 597 Nicholson Flats, 
23,2022-10-08,00:58:19,David,Baker,Female,hbeasley@example.org,000-818-04847,Barbados,YES,"Pineapple,Mango",1.5,3.6,Mississippi, 906 Williams Roads, 26901
119,2022-10-19,05:32:19,Elizabeth,Adams,Female,sheila56@example.com,919-030-77393,Namibia,YES,"Apple,Mango,Orange",1.9,7.1000000000000005,Nebraska, 974 Christopher Roads, 
358,2022-12-04,15:09:49,Kimberly,Jones,Female,williamreeves@example.com,920-053-09843,Iraq,YES,"Cherry,Mango,Pineapple,Orange,Strawberry",2.4,9.9,Illinois, 2699 Derek Passage Suite 274, 74986
390,2023-02-05,13:40:15,Richard,Perez,Female,gordonliu@example.com,177-857-86323,Moldova,YES,"Pineapple,Grapes,Mango",1.8,5.9,Oklahoma, 131 Arnold Orchard Suite 768, 76985
187,2023-03-11,16:08:30,Donna,Hernandez,Male,gregory42@example.net,104-504-38130,Serbia,YES,"Peach,Mango,Banana,Pineapple",2.4,7.699999999999999,South Dakota, 52812 Luna Greens, 36018
372,2023-06-03,17:30:42,Joshua,Johnson,Female,rodriguezchristopher@example.com,001-779-51897,Djibouti,YES,"Strawberry,Mango",2.5,4.2,Florida, 86200 Lewis Mall, 
304,2023-06-24,16:50:10,Joseph,Adams,Female,kristina84@example.org,664-943-30452,Kenya,YES,"Grapes,Mango,Orange,Peach",2.5,7.699999999999999,Hawaii, 515 Fields Roads Apt. 192, 
289,2023-08-15,00:07:26,Steven,Collins,Male,wolfjesse@example.org,890-489-84321,Azerbaijan,YES,"Pineapple,Mango,Apple,Cherry",2.3,9.0,New Mexico, 552 Smith Mountain, 58088
28,2023-08-28,06:14:43,George,Lewis,Male,pellis@example.org,854-492-79469,Kazakhstan,YES,"Apple,Mango,Strawberry,Peach",2.3,7.8,Utah, , 80993
4,2023-09-02,20:31:51,Barbara,Young,Female,shawn89@example.net,968-667-32593,Moldova,YES,"Banana,Cherry,Mango,Pineapple",2.3,9.0,Nevada, 8491 Stone Lakes, 51243
177,2023-09-13,15:31:40,Mark,Roberts,Male,stephen01@example.com,830-392-90355,Paraguay,YES,"Blueberry,Mango,Peach,Grapes,Banana",1.9,9.6,Washington, , 96306
32,2023-09-29,14:16:36,Susan,Perez,Female,larryhicks@example.org,758-603-99795,Venezuela,YES,"Banana,Blueberry,Mango",1.5,5.7,Missouri, , 03018
96,2023-10-06,05:40:29,Christopher,Parker,Male,martin99@example.org,741-306-09144,Holy See (Vatican City State),YES,"Mango,Cherry,Strawberry,Apple",2.3,8.7,New Mexico, , 
483,2023-10-09,07:24:37,Linda,Phillips,Male,enoble@example.org,772-841-88838,Bolivia,YES,"Mango,Orange",1.5,4.1,New Jersey, , 37516
383,2023-11-23,05:11:23,Margaret,Carter,Female,obrown@example.org,958-165-79498,Somalia,YES,"Banana,Mango,Apple",1.3,5.5,Missouri, 6338 Jefferson Lodge, 20089
451,2023-12-27,06:14:02,Kevin,Lopez,Female,christopher56@example.net,609-305-70858,Seychelles,YES,"Mango,Strawberry,Orange,Grapes,Banana",2.7,9.5,Florida, , 13825
171,2023-12-27,10:35:30,Carol,White,Male,kentconrad@example.org,037-164-13694,Antigua and Barbuda,YES,"Apple,Mango,Orange",1.7,5.0,New York, , 80229
387,2024-01-28,04:44:06,Susan,Williams,Female,tateteresa@example.com,361-580-11209,Uruguay,YES,"Apple,Mango,Grapes",1.7,5.7,New Mexico, , 14103
296,2024-02-16,13:53:10,Lisa,Martin,Female,hudsoncassandra@example.net,479-627-45435,Somalia,YES,"Cherry,Orange,Peach,Mango",1.9,7.9,Mississippi, 492 Tammy Road, 
447,2024-02-28,00:51:00,Karen,Anderson,Male,crawfordwilliam@example.com,378-908-73504,Belarus,YES,"Pineapple,Cherry,Peach,Strawberry,Mango",2.2,10.400000000000002,Utah, 01117 Audrey Pines Suite 152, 23035
477,2024-03-04,21:25:36,Matthew,Rodriguez,Female,frenchemma@example.org,938-212-09626,Rwanda,YES,"Blueberry,Cherry,Mango,Pineapple",2.6,9.1,Washington, , 19502
419,2024-06-06,10:24:59,Patricia,Hill,Female,ujones@example.net,060-544-72024,Iceland,YES,"Blueberry,Grapes,Mango,Apple",1.3,8.4,Arizona, 2772 Ellis Groves Apt. 084, 
445,2024-07-12,16:10:44,Joshua,Hall,Male,byrdkerri@example.net,081-752-04664,Bosnia and Herzegovina,YES,"Mango,Grapes,Blueberry,Strawberry",2.2,9.2,West Virginia, , 24808
295,2024-07-13,15:25:58,Sandra,Thompson,Female,andersonjohn@example.org,430-884-07453,Ukraine,YES,"Apple,Orange,Mango,Pineapple,Blueberry",1.3,9.1,North Dakota, 61913 Mathews Port, 07747
385,2024-09-16,02:14:13,Deborah,Scott,Female,clarkejennifer@example.org,562-853-54223,Pakistan,YES,"Blueberry,Mango,Apple,Cherry",1.3,6.699999999999999,Alaska, 142 Dustin Skyway, 07183
53,2024-11-29,03:48:51,Amanda,Robinson,Male,william71@example.net,698-068-30240,Montenegro,YES,"Peach,Strawberry,Mango,Blueberry",2.0,8.2,Mississippi, 7278 Michael Well, 35914
457,2024-12-08,00:03:13,Nancy,Martinez,Female,alvarezholly@example.com,370-778-60624,Saint Martin,YES,"Mango,Peach,Banana,Pineapple",1.4,8.0,Illinois, 2618 Carter Brook, 09199
