Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Apple,Banana,Orange,Grapes,Strawberry,Pineapple,Mango,Blueberry,Peach,Cherry,Total,state_address,street,Zip_Code
479,2021-03-10,19:32:21,Jennifer,Lee,Male,dunnmichael@example.com,821-940-56305,Reunion,YES,Banana,1.6,2.3,2.3,1.5,2.3,2.0,1.9,2.0,2.2,1.8,2.3,Utah, 560 Chambers Valley Suite 811, 53557
54,2021-03-11,04:09:42,Brian,Scott,Male,zgraham@example.net,956-173-02034,Israel,YES,"Peach,Pineapple",1.4,1.5,1.6,2.5,1.6,2.4,1.4,1.7,2.5,2.1,4.9,Vermont, 7684 Osborne Rest Apt. 322, 
60,2021-03-13,09:33:52,Carol,Moore,Male,aguilarpamela@example.org,879-771-58917,Palau,YES,"Banana,Grapes,Strawberry",2.2,1.6,1.8,1.8,1.7,2.7,1.8,2.3,1.4,2.4,5.1000000000000005,New Hampshire, , 18186
24,2021-03-19,16:45:31,Margaret,Taylor,Male,rodriguezjohn@example.net,342-540-80756,Croatia,YES,Pineapple,2.6,1.9,1.6,2.6,1.7,1.8,2.7,2.1,1.5,2.1,1.8,Colorado, , 73470
61,2021-03-20,10:39:58,Emily,Johnson,Male,daniel81@example.net,065-586-37670,Ireland,YES,"Mango,Apple,Banana",1.7,2.0,1.6,1.9,1.3,1.4,1.7,2.5,2.1,1.4,5.4,Nebraska, 3031 Bennett Tunnel Suite 086, 88372
432,2021-03-24,05:47:29,Linda,Carter,Male,xsanders@example.org,877-770-10111,Mali,YES,"Pineapple,Orange,Strawberry,Grapes",1.6,1.3,1.5,1.6,2.3,2.4,2.5,2.4,2.5,1.6,7.799999999999999,New Jersey, 239 Salazar Drive, 08374
82,2021-03-28,13:20:29,James,Phillips,Male,thomastaylor@example.com,784-829-24194,Morocco,YES,"Mango,Banana,Grapes,Cherry",2.0,2.0,2.4,1.5,1.7,1.4,1.5,1.4,2.0,2.2,7.2,Iowa, 149 Watts Underpass Suite 865, 87178
6,2021-04-14,19:49:19,Betty,Nelson,Male,robertclark@example.com,146-514-62466,Sudan,YES,"Mango,Banana,Grapes",1.4,2.0,1.4,1.6,1.9,1.7,1.5,2.7,1.3,2.1,5.1,Alaska, , 84981
277,2021-04-26,19:32:58,Anthony,Thompson,Female,perrydenise@example.net,837-460-16628,San Marino,YES,"Apple,Strawberry",2.0,2.5,2.5,1.6,2.2,1.9,2.1,1.8,2.1,1.9,4.2,Alabama, 698 Sean Crossroad, 
276,2021-05-01,11:47:12,Barbara,White,Female,pjackson@example.net,811-739-68191,Egypt,YES,"Grapes,Cherry,Pineapple",2.5,1.5,2.4,1.3,2.1,2.1,1.9,1.6,1.5,2.4,5.800000000000001,Mississippi, , 26740
192,2021-05-08,02:05:01,Kevin,Martin,Female,melanie48@example.com,599-745-47236,Sao Tome and Principe,YES,"Pineapple,Blueberry,Orange",1.3,2.1,1.3,1.9,1.8,1.2,2.6,1.9,1.7,2.3,4.4,Missouri, 64878 Brandon Island, 80375
147,2021-05-10,08:10:18,Ashley,Williams,Female,diane33@example.org,854-644-88346,Saudi Arabia,YES,"Apple,Strawberry,Mango",2.0,1.9,1.2,1.7,1.7,1.5,1.2,1.6,1.5,1.3,4.9,Colorado, 211 Hannah Gardens Suite 001, 
234,2021-05-15,11:22:53,Daniel,Carter,Male,codyperry@example.com,228-560-26559,Western Sahara,YES,"Strawberry,Orange,Cherry",2.5,1.2,1.6,2.3,2.2,2.2,2.2,1.9,1.5,1.7,5.5,New York, , 28289
323,2021-05-21,22:44:45,Susan,Walker,Male,milleremily@example.org,272-623-93561,Svalbard & Jan Mayen Islands,YES,Strawberry,1.6,1.3,2.5,2.1,2.7,2.1,1.2,2.4,1.8,2.2,2.7,Massachusetts, 64175 Jones Shoals Suite 838, 88944
413,2021-06-02,04:35:47,Jessica,Turner,Female,hughesalejandro@example.org,639-727-24434,Lesotho,YES,"Pineapple,Cherry,Peach",1.4,1.8,2.5,2.5,1.4,2.5,1.5,1.3,2.5,1.6,6.6,Vermont, 1698 Gregory Valley Suite 803, 43223
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",1.4,1.2,1.9,1.5,1.9,2.5,2.6,2.7,2.2,1.7,8.7,Kentucky, 1611 Darrell Path Suite 572, 
494,2021-07-06,03:58:30,Ashley,Edwards,Female,justin92@example.com,542-306-77895,United States Virgin Islands,YES,"Apple,Grapes",2.7,2.7,2.0,2.6,1.3,1.7,1.5,2.1,1.6,1.7,5.300000000000001,Ohio, , 12996
83,2021-07-08,05:15:24,Susan,Brown,Female,yhenry@example.org,318-818-28856,India,YES,"Strawberry,Orange,Peach,Banana",1.9,1.4,1.9,1.5,1.3,2.2,2.3,1.3,1.5,1.3,6.1,Alaska, , 03269
43,2021-07-09,10:12:07,Daniel,Johnson,Male,joserobertson@example.org,939-799-75446,Slovakia (Slovak Republic),YES,Pineapple,1.6,1.8,2.6,1.6,2.4,1.5,2.2,2.3,2.7,1.6,1.5,Mississippi, 8307 Patrick Inlet, 63125
395,2021-07-10,20:05:38,Charles,Taylor,Male,williamsheather@example.org,735-076-35757,Madagascar,YES,Mango,2.1,1.4,2.6,1.3,1.4,2.3,2.4,2.1,2.5,1.8,2.4,Alabama, , 53918
34,2021-07-15,13:49:49,Steven,Allen,Male,jmarshall@example.net,983-874-26870,Hong Kong,YES,"Strawberry,Mango,Peach",2.0,1.5,1.3,2.6,2.5,1.9,2.2,1.4,2.1,2.3,6.800000000000001,Oregon, 923 Amanda Isle, 78387
227,2021-07-18,20:08:29,Jessica,Campbell,Male,douglasandre@example.org,529-190-29310,Nepal,YES,Blueberry,2.5,2.6,1.3,2.5,2.6,2.4,2.2,1.4,1.6,1.5,1.4,Delaware, , 93986
272,2021-07-20,20:20:02,Anthony,Smith,Male,dlarson@example.com,611-670-49139,Belarus,YES,Mango,2.6,2.7,2.6,2.6,2.1,2.4,1.5,1.4,2.6,1.4,1.5,North Dakota, 65822 Timothy Keys Apt. 739, 
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",2.2,2.3,1.4,2.0,1.5,2.4,2.4,1.8,1.7,2.4,10.3,Rhode Island, , 47048
46,2021-07-31,16:38:16,Brian,Lewis,Female,kimjones@example.net,838-438-41120,Ecuador,YES,"Pineapple,Mango,Blueberry,Apple,Strawberry",2.4,2.0,1.8,2.5,1.6,2.7,1.3,1.5,2.4,1.4,9.5,Minnesota, 99198 Bethany Lights Apt. 000, 09190
394,2021-08-01,18:56:36,Deborah,Lopez,Male,jacob88@example.org,663-584-26368,United Arab Emirates,YES,"Apple,Orange,Strawberry,Blueberry",2.4,1.9,2.5,1.9,2.6,1.4,1.6,2.5,2.5,1.4,10.0,Rhode Island, 7257 Villa Falls, 77112
194,2021-08-10,00:34:53,Lisa,Lewis,Male,nortonerin@example.org,549-831-99839,Uganda,YES,Cherry,1.6,2.6,1.3,2.6,2.6,2.1,2.6,1.7,1.6,1.8,1.8,Kansas, , 
246,2021-08-10,20:07:53,Kimberly,Rodriguez,Male,crystalmorgan@example.com,844-848-87896,Holy See (Vatican City State),YES,"Mango,Strawberry,Blueberry,Banana",2.0,2.3,2.0,2.2,1.4,2.4,1.9,1.5,2.4,2.5,7.1,Oklahoma, 06049 Christopher Course, 29754
16,2021-08-16,08:48:14,John,Lopez,Male,dannygraham@example.com,323-606-70616,Mozambique,YES,Blueberry,1.8,2.3,2.6,1.2,1.5,2.7,1.3,1.5,2.1,2.6,1.5,Louisiana, , 45861
164,2021-08-20,16:10:17,Brian,Perez,Male,gsmith@example.net,779-527-95746,Zambia,YES,"Grapes,Strawberry,Orange",2.3,1.3,2.1,1.7,1.5,1.4,2.4,1.7,1.3,2.3,5.300000000000001,Nevada, , 05859
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",1.4,2.6,1.4,1.6,2.4,2.5,1.3,2.1,1.7,1.7,8.5,New Jersey, 64174 Kelly Vista, 30802
56,2021-08-26,22:26:04,George,King,Male,jessicamurray@example.net,842-633-29486,Eritrea,YES,"Cherry,Banana,Strawberry",2.2,1.3,2.5,2.1,2.2,1.7,1.9,1.9,1.2,2.4,5.9,Georgia, , 
183,2021-09-06,00:20:34,Brian,Thompson,Male,butlergregory@example.net,540-935-90071,Gambia,YES,"Grapes,Pineapple,Strawberry",2.6,2.6,1.3,2.3,2.5,1.9,2.2,2.7,1.5,1.5,6.699999999999999,Rhode Island, 1687 Shawn Lakes Apt. 699, 38582
190,2021-09-07,20:51:54,Dorothy,Martin,Male,ocollier@example.org,354-056-14098,Bangladesh,YES,Pineapple,1.7,1.9,1.8,2.4,2.4,1.9,1.5,2.0,2.6,1.8,1.9,Rhode Island, , 
380,2021-09-14,04:42:40,Anthony,Hall,Female,millergabriella@example.com,774-689-57861,Togo,YES,"Pineapple,Strawberry,Grapes,Apple,Blueberry",1.8,2.1,1.4,2.1,1.8,2.2,2.1,2.6,2.3,2.2,10.5,Wisconsin, 484 Garcia Via, 70602
470,2021-09-16,21:34:34,Emily,Mitchell,Female,wilsonanne@example.org,853-460-18099,Solomon Islands,YES,"Mango,Peach,Orange,Grapes",2.5,1.3,1.8,2.3,2.3,1.9,2.1,1.8,2.3,1.4,8.5,Wyoming, 10551 Mitchell Haven, 38702
117,2021-09-27,10:29:17,Lisa,Baker,Female,ericspencer@example.org,237-252-87108,American Samoa,YES,Pineapple,2.2,1.4,1.9,2.4,1.7,1.9,1.8,1.8,2.5,2.4,1.9,Vermont, 4917 Cruz Street, 88059
170,2021-10-07,06:47:48,Edward,Allen,Female,tanner69@example.com,869-290-54516,Antigua and Barbuda,YES,"Orange,Blueberry,Strawberry",2.1,1.4,2.4,1.9,1.8,1.3,1.3,1.5,1.7,2.2,5.7,Florida, 274 Espinoza Forks, 49419
462,2021-10-12,06:32:05,Paul,Thomas,Male,stevenfriedman@example.org,118-233-84084,Tunisia,YES,Apple,1.5,2.3,1.6,1.4,2.3,1.3,1.6,2.3,1.9,1.6,1.5,Georgia, 1736 Amber Circles Apt. 314, 
185,2021-10-15,23:37:01,William,Williams,Female,rogerandrews@example.org,154-724-28320,United States of America,YES,"Pineapple,Orange",1.7,2.0,1.6,2.4,2.7,2.6,1.3,1.3,2.7,2.3,4.2,Rhode Island, , 48139
233,2021-11-01,10:21:49,Sarah,Thompson,Male,stacy18@example.org,523-022-65435,Isle of Man,YES,"Apple,Peach,Pineapple",1.6,1.5,1.4,1.4,1.6,2.4,2.5,1.6,1.9,2.6,5.9,Vermont, 836 Cantrell Causeway Suite 846, 84887
364,2021-11-02,10:18:42,Brian,Rodriguez,Female,richard46@example.com,670-293-42829,Zimbabwe,YES,"Grapes,Orange,Banana",1.4,2.6,1.6,1.5,1.3,1.6,2.1,1.5,2.7,2.6,5.7,New York, , 74291
30,2021-11-03,12:07:28,Jennifer,Allen,Male,andrew19@example.org,934-913-34610,Switzerland,YES,"Mango,Grapes,Strawberry,Banana,Cherry",2.7,2.2,1.8,2.3,2.4,1.3,2.0,2.3,2.4,2.1,10.999999999999998,Rhode Island, 718 Garcia Ferry, 76401
497,2021-11-20,00:30:33,Sarah,Anderson,Female,hnorman@example.net,032-085-39419,New Zealand,YES,"Banana,Blueberry,Strawberry",1.6,2.0,1.8,1.2,1.5,1.4,1.3,1.4,1.3,1.4,4.9,Alabama, , 
126,2021-11-25,20:17:10,Michelle,Lee,Male,jessica49@example.net,324-313-58649,Mauritania,YES,"Pineapple,Peach,Mango",2.1,2.0,1.2,2.4,2.5,1.8,1.8,2.1,1.3,2.2,4.9,Vermont, , 
412,2021-11-28,22:11:03,Kimberly,Perez,Female,kyle52@example.org,208-679-82788,Hong Kong,YES,"Grapes,Peach,Blueberry",1.5,2.7,1.9,2.2,2.6,2.0,1.9,2.5,2.7,2.1,7.4,Indiana, , 
121,2021-11-29,18:17:07,Michael,Taylor,Male,kyletaylor@example.org,012-324-35574,Timor-Leste,YES,"Cherry,Peach,Banana,Strawberry",2.4,2.4,2.0,2.0,2.0,1.7,1.4,1.9,1.2,1.4,7.0,Arkansas, 01482 Amanda Island Apt. 457, 90122
446,2021-12-01,05:12:36,Dorothy,Mitchell,Female,freed@example.com,362-683-42210,Bermuda,YES,"Cherry,Peach",1.3,1.5,1.8,2.3,2.4,2.7,1.5,1.5,2.3,1.3,3.6,Nebraska, , 86433
279,2021-12-01,19:41:11,Elizabeth,Adams,Female,donna71@example.org,672-841-00004,Greenland,YES,"Apple,Blueberry,Peach,Mango,Pineapple",1.7,1.7,2.0,1.5,2.2,1.6,2.4,2.4,2.1,2.2,10.2,New Mexico, , 58019
347,2021-12-02,15:42:29,Lisa,Wright,Female,froach@example.net,653-615-12433,Slovenia,YES,"Grapes,Strawberry,Cherry,Pineapple,Apple",1.7,1.6,2.1,1.7,1.9,2.1,2.2,1.9,2.2,1.9,9.3,North Carolina, , 63748
464,2021-12-16,11:40:41,Joshua,Mitchell,Female,john27@example.com,919-875-14397,Antigua and Barbuda,YES,"Orange,Apple",1.7,2.2,1.3,2.3,2.6,2.6,1.8,1.9,2.1,2.3,3.0,South Dakota, , 
480,2021-12-22,09:28:41,Kimberly,White,Male,waltonmichael@example.org,561-785-85247,Zimbabwe,YES,"Cherry,Apple",2.1,2.2,2.5,2.5,2.2,2.5,1.8,2.3,1.3,2.6,4.7,Georgia, 537 Rebecca Terrace Suite 854, 
104,2021-12-27,01:05:36,Donna,Martin,Male,lynn79@example.net,167-257-17772,Maldives,YES,"Strawberry,Grapes,Cherry,Apple,Blueberry",2.4,1.9,2.1,2.1,1.9,1.6,2.1,2.0,1.6,1.4,9.8,New Hampshire, 1837 Martin Avenue Apt. 465, 57513
263,2022-01-06,11:34:08,Mary,Parker,Female,daniel19@example.com,068-122-37117,Heard Island and McDonald Islands,YES,"Mango,Cherry,Pineapple,Banana,Apple",1.5,2.4,1.5,1.5,1.8,1.9,1.2,2.1,1.6,2.7,9.7,Missouri, 575 Holmes Shores Suite 670, 
51,2022-01-23,15:27:08,Amanda,Edwards,Male,michael76@example.org,990-406-23181,Albania,YES,"Banana,Orange,Strawberry",1.5,2.7,2.6,1.9,2.2,1.7,2.1,1.3,2.3,1.9,7.500000000000001,North Dakota, 4640 Felicia Isle, 
191,2022-01-27,02:25:13,Daniel,Turner,Female,stevenhenry@example.net,195-006-29452,United States of America,YES,"Apple,Peach,Blueberry",2.4,1.5,2.0,2.1,2.4,1.3,2.4,2.0,1.6,2.1,6.0,North Carolina, , 25785
397,2022-01-30,23:10:39,Kimberly,Harris,Male,mmcmahon@example.net,211-636-43234,Palestinian Territory,YES,"Peach,Strawberry,Apple",2.1,2.2,1.7,2.6,1.9,2.2,2.2,1.8,1.9,1.6,5.9,Alaska, 92345 Fox Row Suite 880, 84318
63,2022-02-03,19:59:43,James,Anderson,Male,carterralph@example.net,936-468-03909,Kenya,YES,Apple,1.4,1.3,2.0,2.5,1.7,1.3,2.7,1.5,1.9,2.3,1.4,Hawaii, 81441 Klein Manors, 97756
130,2022-02-11,02:00:47,Amanda,Martin,Male,lmarsh@example.org,263-039-17547,Isle of Man,YES,"Peach,Banana,Grapes,Mango",1.8,2.0,2.1,2.6,1.4,2.5,1.5,1.9,1.6,2.4,7.7,Tennessee, , 10870
500,2022-02-13,19:51:34,William,Rodriguez,Female,sandramcdaniel@example.net,506-617-37287,New Zealand,YES,"Strawberry,Apple,Pineapple,Orange",2.4,2.5,2.0,1.5,1.7,1.6,1.5,2.0,2.2,2.2,7.699999999999999,Kentucky, , 68970
284,2022-02-17,02:39:08,Donna,Anderson,Male,tammydorsey@example.org,727-759-66170,Lao People's Democratic Republic,YES,Apple,1.4,1.3,1.8,2.1,1.7,2.2,1.3,1.4,1.3,2.4,1.4,Oklahoma, 58123 Brock Roads, 
298,2022-02-19,05:22:18,Emily,Mitchell,Male,fitzgeraldcindy@example.com,040-809-72499,Puerto Rico,YES,Blueberry,1.8,2.5,1.4,1.6,2.6,1.3,1.6,2.4,2.3,2.6,2.4,Arizona, , 06772
435,2022-02-21,13:18:26,Brian,Smith,Male,ksanchez@example.com,326-396-90210,Ghana,YES,"Orange,Blueberry,Peach",2.7,2.1,1.4,1.2,1.8,2.0,2.5,2.3,2.3,2.5,6.0,South Carolina, 4453 Schultz Station Apt. 027, 
488,2022-02-28,16:16:34,Dorothy,Campbell,Male,leejerry@example.net,415-001-27908,Moldova,YES,"Peach,Grapes",2.5,2.6,2.2,2.0,1.8,2.3,2.3,2.3,2.7,1.7,4.7,Mississippi, 478 Porter Crossroad, 
286,2022-03-03,18:11:33,Richard,Perez,Female,ccoleman@example.org,123-246-10723,Mauritania,YES,"Blueberry,Strawberry,Peach,Orange",2.5,2.5,2.0,2.4,1.6,2.3,1.9,1.8,2.5,1.8,7.9,Colorado, 63829 Gerald Rapid, 27143
175,2022-03-07,11:10:23,Lisa,Anderson,Female,xcherry@example.org,417-837-31107,Mauritius,YES,Peach,2.1,2.3,2.2,1.3,1.3,1.5,2.6,1.3,2.1,2.3,2.1,Maryland, 369 Mckenzie Well Apt. 651, 26793
252,2022-03-09,23:42:39,Amanda,Nelson,Female,brian97@example.net,718-970-99677,Philippines,YES,"Orange,Strawberry,Peach,Banana,Apple",2.4,1.4,1.2,1.9,1.9,1.8,1.4,2.3,1.5,1.7,8.4,Mississippi, , 24185
22,2022-03-17,15:03:08,Thomas,Garcia,Female,jessica23@example.com,330-673-54928,India,YES,"Grapes,Mango",2.1,2.0,1.2,1.6,2.6,2.6,1.7,2.7,2.6,2.5,3.3,Maryland, 538 James Prairie Apt. 804, 40380
69,2022-03-24,08:41:17,Patricia,King,Male,daniellozano@example.org,079-891-30811,Turkey,YES,"Blueberry,Peach",2.7,2.3,2.6,1.5,2.4,1.8,1.9,2.3,2.2,1.4,4.5,Alaska, 22906 Rebecca Mission, 
454,2022-03-25,10:19:28,Sandra,Anderson,Male,rittersara@example.net,278-571-53097,Cape Verde,YES,"Banana,Cherry,Orange",1.4,1.8,1.4,2.3,1.9,1.5,2.5,2.3,1.5,1.4,4.6,Virginia, 321 Howard Rapid, 
123,2022-03-30,09:57:09,William,Mitchell,Female,omcclain@example.net,531-260-25428,Papua New Guinea,YES,"Banana,Peach",1.9,1.8,1.5,1.4,1.6,2.6,1.9,1.2,2.0,2.6,3.8,Mississippi, 379 John Bridge, 73012
101,2022-04-03,07:02:11,Donna,Thomas,Female,logan92@example.com,410-341-43574,Honduras,YES,"Orange,Mango,Peach",1.9,1.6,2.4,2.7,2.1,1.8,2.1,2.6,2.5,2.5,7.0,Arizona, 08518 Miller Mills Apt. 141, 23401
461,2022-04-05,01:29:41,Edward,Lopez,Male,tdawson@example.org,432-044-47614,Portugal,YES,"Apple,Orange,Blueberry,Cherry",2.6,1.6,2.5,1.3,1.9,2.1,1.9,2.7,2.1,1.9,9.7,Illinois, 13128 Anna Fork Suite 351, 51054
332,2022-04-05,21:46:02,Patricia,Thomas,Male,skinnermikayla@example.net,408-329-28222,Kazakhstan,YES,"Apple,Banana",1.7,1.5,1.3,2.2,1.8,2.1,2.5,1.4,2.6,1.5,3.2,Colorado, , 61398
273,2022-04-09,02:00:45,Melissa,Wright,Female,davidmartin@example.net,550-935-46602,French Guiana,YES,"Blueberry,Mango",2.1,2.6,2.6,2.1,1.4,1.2,2.1,1.9,1.8,2.5,4.0,Oregon, , 49879
142,2022-04-21,16:44:49,Jennifer,Jackson,Female,feliciapayne@example.org,167-983-84604,Antarctica (the territory South of 60 deg S),YES,Banana,1.6,1.5,2.3,1.8,2.1,1.3,1.4,2.4,2.3,2.7,1.5,Louisiana, 32204 Douglas Trafficway, 70116
77,2022-05-07,09:58:53,Andrew,Taylor,Male,fmccann@example.org,914-923-40660,Kiribati,YES,"Pineapple,Grapes,Cherry,Strawberry",1.8,1.8,2.6,1.6,2.3,1.6,1.4,1.5,2.3,2.6,8.100000000000001,Arizona, , 
218,2022-05-08,23:57:23,Robert,Anderson,Male,kristin60@example.net,732-623-50812,Kyrgyz Republic,YES,"Orange,Banana,Grapes",2.7,1.5,2.2,2.0,2.6,1.5,1.6,1.5,2.0,2.6,5.7,Virginia, , 90979
423,2022-05-17,13:47:54,Michael,Hernandez,Female,lisa73@example.com,073-111-20688,Ethiopia,YES,"Orange,Grapes,Strawberry",2.1,1.3,2.2,1.7,1.5,1.8,1.2,2.5,2.5,1.2,5.4,Rhode Island, 87816 Bowen Dale, 
267,2022-05-18,17:22:20,Jennifer,Anderson,Female,cody31@example.net,059-749-25813,France,YES,"Blueberry,Apple,Banana",2.1,1.8,2.5,1.9,1.5,2.6,1.5,2.3,1.9,1.4,6.2,Oregon, 69961 Tucker Lights Apt. 702, 23938
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",1.6,1.5,1.7,2.2,1.3,1.4,2.7,2.1,2.1,1.8,8.7,Florida, , 30282
467,2022-05-26,12:05:47,Elizabeth,King,Male,marksdylan@example.net,833-644-14965,Tajikistan,YES,"Pineapple,Banana,Strawberry",1.2,2.3,2.1,1.2,1.6,2.2,2.4,2.2,1.7,1.4,6.1,Arkansas, 544 Bradshaw Forge Suite 120, 31039
148,2022-06-11,10:09:08,Kevin,Perez,Male,warrencharles@example.org,763-169-90435,Liechtenstein,YES,"Orange,Blueberry,Pineapple,Grapes,Apple",1.9,2.3,1.9,2.3,2.5,1.7,1.5,2.6,1.9,1.4,10.4,Delaware, 882 Brian Mountains, 52791
250,2022-06-26,22:19:11,Mark,Mitchell,Female,allen96@example.org,860-111-98707,Bangladesh,YES,"Blueberry,Cherry,Orange",2.4,1.8,1.7,1.5,2.7,2.1,2.6,1.7,2.4,1.4,4.8,Arizona, , 47967
316,2022-07-02,17:45:00,Joseph,Thomas,Female,garrettmichele@example.com,720-219-44751,Isle of Man,YES,"Mango,Strawberry",1.6,1.4,2.1,1.9,1.4,2.6,2.0,1.5,1.2,2.6,3.4,Louisiana, , 93239
184,2022-07-12,04:09:00,Lisa,Parker,Male,jmcclure@example.net,548-159-71627,Martinique,YES,"Mango,Banana,Orange,Grapes,Pineapple",2.5,1.5,1.4,2.6,1.5,1.8,1.6,2.6,1.8,2.5,8.9,South Dakota, 5265 Rebecca Orchard, 48313
482,2022-07-12,05:35:10,Deborah,Robinson,Male,frank96@example.com,368-055-50399,Lithuania,YES,Strawberry,1.7,1.7,1.3,1.3,2.6,1.2,2.6,1.4,1.2,1.4,2.6,New York, , 56542
365,2022-07-13,16:06:41,Deborah,Roberts,Male,darrellsaunders@example.org,071-587-98549,Lao People's Democratic Republic,YES,"Cherry,Orange,Mango",2.5,2.5,2.3,1.7,1.9,2.6,2.4,1.4,2.5,2.3,7.0,Kentucky, , 71097
360,2022-07-25,16:24:05,Christopher,Scott,Male,robert74@example.net,389-015-66387,United States Virgin Islands,YES,"Pineapple,Apple",2.6,2.7,2.6,2.1,1.8,2.5,1.6,2.4,2.3,2.1,5.1,Minnesota, , 66747
260,2022-08-02,16:49:12,Sandra,Mitchell,Female,walshbrittney@example.org,742-896-36361,Trinidad and Tobago,YES,Apple,1.3,1.5,1.3,2.6,1.8,2.5,1.6,1.2,1.7,2.5,1.3,Maine, 274 Cory Pike, 
448,2022-08-07,09:52:56,Carol,White,Female,christineshannon@example.com,735-499-54173,Pakistan,YES,"Mango,Pineapple",1.7,1.7,1.5,2.3,1.7,2.6,2.7,1.9,1.6,2.4,5.300000000000001,Utah, 597 Nicholson Flats, 
496,2022-08-15,06:44:40,Nancy,Johnson,Female,oneillsean@example.org,458-510-22239,Gambia,YES,"Blueberry,Cherry,Apple",1.4,2.0,1.8,1.6,1.7,1.5,2.5,2.6,2.6,2.5,6.5,Texas, 9356 Thompson Inlet Apt. 054, 09757
155,2022-08-17,00:16:43,Matthew,Smith,Female,ugomez@example.net,410-158-23283,Svalbard & Jan Mayen Islands,YES,"Strawberry,Grapes,Banana,Orange",2.5,2.3,1.9,2.4,2.0,1.3,2.3,2.4,1.4,2.2,8.6,California, , 36097
154,2022-08-23,01:55:07,Kevin,Smith,Male,glenntaylor@example.net,451-260-52830,India,YES,"Apple,Pineapple,Strawberry,Cherry,Peach",1.6,2.5,1.9,2.3,1.9,2.2,2.4,1.7,1.5,1.4,8.6,Vermont, 3704 Singh Path Apt. 673, 55306
158,2022-09-12,00:52:57,Matthew,Nelson,Female,emily69@example.com,863-889-60229,Bahamas,YES,"Orange,Banana,Blueberry,Strawberry",1.9,1.8,1.5,1.2,1.3,1.7,1.2,1.7,2.5,2.5,6.3,Utah, 35481 Jones Drives Suite 295, 77020
