Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Address,Contact Later,Fruits,Apple,Banana,Orange,Grapes,Strawberry,Pineapple,Mango,Blueberry,Peach,Cherry,Total
CusID- 34,"15 Jul, 2021",13:49:49,Steven,Allen,M,jmarshall@example.net,9\83874-26870,Hong Kong,"Oregon, 923 Amanda Isle, 78387",y,"Strawberry,Mango,Peach",2.0,1.5,1.3,2.6,2.5,1.9,2.2,1.4,2.1,2.3,6.800000000000001
35,"16 Oct, 2022",23:04:43,Paul,Campbell,Male,juanandrews@example.org,9342|962-1722,Bhutan,"Indiana, 156 Nancy Spring, 64625",Y,"Peach,Apple,Banana,Cherry",2.4,2.2,1.7,2.3,1.5,1.8,1.3,1.7,2.5,2.0,9.100000000000001
CusID- 36,"03 Jun, 2023",15:11:43,Robert,\Anderson,F,denniscordova@example.com,7-2075|378700,Rwanda,"New Mexico, , 27004",Y,"Strawberry,Grapes",1.8,2.5,1.3,1.4,2.0,2.4,1.9,2.7,2.2,2.7,3.4
CusID- 37,"17 Jan, 2021",23:19:33,Patricia,Jackson,f,justinbooker@example.com,0284-38-42317,Slovenia,"Idaho, 686 Meyer Cove Apt. 000, 14576",y,Strawberry,2.0,1.3,2.4,2.0,2.5,2.3,2.3,1.9,1.8,1.7,2.5
38,"21 Jan, 2023",04:40:53,Carol,|Moore,F,pearsonlarry@example.org,930|13-676327,Korea,"West Virginia, 8025 Harris Trail, ",N,"Mango,Cherry,Banana,Peach",1.7,1.7,1.2,1.8,2.3,1.8,1.2,1.8,1.3,2.7,6.9
38,"21 Jan, 2023",04:40:53,Carol,|Moore,F,pearsonlarry@example.org,930|13-676327,Korea,"West Virginia, 8025 Harris Trail, ",N,"Mango,Cherry,Banana,Peach",1.7,1.7,1.2,1.8,2.3,1.8,1.2,1.8,1.3,2.7,6.9
39,"08 Jul, 2023",02:53:31,Carol,Johnson,Male,christopher56@example.net,65106-80\8673,Saint Martin,"Colorado, 69095 Turner Isle, 18485",n,"Peach,Banana,Strawberry,Apple",2.3,2.4,1.3,2.4,1.9,2.6,1.6,1.4,2.5,2.5,9.100000000000001
39,"08 Jul, 2023",02:53:31,Carol,Johnson,Male,christopher56@example.net,65106-80\8673,Saint Martin,"Colorado, 69095 Turner Isle, 18485",n,"Peach,Banana,Strawberry,Apple",2.3,2.4,1.3,2.4,1.9,2.6,1.6,1.4,2.5,2.5,9.100000000000001
40,"17 Oct, 2022",08:12:22,Amanda,Wright,M,brettwilson@example.com,309|19|092563,Madagascar,"Mississippi, 807 Richard Trafficway Apt. 636, 21172",no,"Pineapple,Cherry,Grapes,Banana",2.4,2.6,1.9,2.4,1.9,2.0,2.7,2.1,1.9,1.3,8.299999999999999
CusID- 41,"30 Sep, 2022",18:08:53,Nancy,Rodriguez,M,wreed@example.net,3--0121836399,Bermuda,"Kentucky, , 44077",yes,"Orange,Grapes,Cherry",1.9,1.8,2.0,2.2,2.1,1.8,1.7,1.5,1.7,1.4,5.6
42,"10 Jan, 2023",16:17:26,Sarah,Harris,f,rjohnson@example.org,0-41733404-35,American Samoa,"Nebraska, , ",no,Grapes,2.3,2.0,1.5,1.2,1.9,2.3,1.6,1.8,2.3,2.5,1.2
42,"10 Jan, 2023",16:17:26,Sarah,Harris,f,rjohnson@example.org,0-41733404-35,American Samoa,"Nebraska, , ",no,Grapes,2.3,2.0,1.5,1.2,1.9,2.3,1.6,1.8,2.3,2.5,1.2
CusID- 43,"09 Jul, 2021",10:12:07,Daniel,_Johnson,M,joserobertson@example.org,9397997-54-46,Slovakia (Slovak Republic),"Mississippi, 8307 Patrick Inlet, 63125",yes,Pineapple,1.6,1.8,2.6,1.6,2.4,1.5,2.2,2.3,2.7,1.6,1.5
44,"23 Sep, 2021",09:42:55,Paul,Martinez,Female,joshua32@example.org,4|5593040-609,Angola,"Maryland, 322 Hunter Plains Apt. 888, 52490",N,"Peach,Banana,Strawberry,Blueberry,Mango",2.2,2.2,1.7,1.7,2.5,1.3,1.7,1.8,1.6,1.6,9.8
44,"23 Sep, 2021",09:42:55,Paul,Martinez,Female,joshua32@example.org,4|5593040-609,Angola,"Maryland, 322 Hunter Plains Apt. 888, 52490",N,"Peach,Banana,Strawberry,Blueberry,Mango",2.2,2.2,1.7,1.7,2.5,1.3,1.7,1.8,1.6,1.6,9.8
CusID- 45,"31 Mar, 2023",02:59:00,Daniel,Smith,m,pearsonlisa@example.org,6-4417|299471,South Georgia and the South Sandwich Islands,"Pennsylvania, 312 Ray Circle, 72411",y,"Pineapple,Grapes",2.4,1.3,1.8,2.4,2.2,2.1,2.3,2.5,1.9,1.2,4.5
CusID- 46,"31 Jul, 2021",16:38:16,Brian,Lewis,f,kimjones@example.net,838-4\3841120,Ecuador,"Minnesota, 99198 Bethany Lights Apt. 000, 09190",Y,"Pineapple,Mango,Blueberry,Apple,Strawberry",2.4,2.0,1.8,2.5,1.6,2.7,1.3,1.5,2.4,1.4,9.5
47,"22 Jun, 2024",16:14:25,Andrew,Brown,m,david53@example.com,10-63242|9476,Antigua and Barbuda,"Nevada, 14322 Mitchell Forges Apt. 254, ",y,"Grapes,Strawberry,Blueberry,Cherry,Pineapple",1.4,1.7,1.8,1.3,1.8,1.4,2.4,1.6,2.6,2.3,8.4
CusID- 48,"17 Nov, 2022",04:24:43,Michael,...White,m,zsims@example.org,079150-22-825,New Zealand,"Florida, 0470 Garcia Rest Apt. 535, 56414",yes,Orange,2.4,2.3,1.6,2.0,2.4,1.8,2.1,2.2,1.5,1.8,1.6
49,"20 Oct, 2024",11:22:05,Kenneth,\Jackson,m,gbenson@example.org,7-494310|4580,Korea,"Indiana, 23673 Brown Lane, 81844",y,"Orange,Grapes,Pineapple,Strawberry",2.2,2.3,1.6,2.0,1.4,1.2,1.7,2.0,1.2,1.5,6.199999999999999
50,"11 Jan, 2023",02:13:25,Michael,_Smith,Female,robertdunn@example.org,98\79292\7587,Serbia,"New Hampshire, 84876 Hart Roads, ",n,"Mango,Peach,Orange,Cherry",2.6,2.6,1.9,1.4,2.1,1.9,2.3,2.1,2.7,2.1,9.0
CusID- 51,"23 Jan, 2022",15:27:08,Amanda,Edwards,Male,michael76@example.org,99|040-623181,Albania,"North Dakota, 4640 Felicia Isle, ",yes,"Banana,Orange,Strawberry",1.5,2.7,2.6,1.9,2.2,1.7,2.1,1.3,2.3,1.9,7.500000000000001
CusID- 52,"16 Oct, 2024",06:53:22,Robert,Hall,Female,krista13@example.com,560562|1|6475,Malawi,"California, , 50402",Y,"Grapes,Orange,Strawberry",1.4,1.4,1.6,1.3,2.4,1.9,2.1,2.3,2.7,2.3,5.300000000000001
53,"29 Nov, 2024",03:48:51,Amanda,Robinson,M,william71@example.net,69\-806830240,Montenegro,"Mississippi, 7278 Michael Well, 35914",y,"Peach,Strawberry,Mango,Blueberry",2.5,2.3,1.4,1.5,2.0,1.4,2.0,2.5,1.7,1.8,8.2
54,"11 Mar, 2021",04:09:42,Brian,|Scott,Male,zgraham@example.net,95617302\\034,Israel,"Vermont, 7684 Osborne Rest Apt. 322, ",Y,"Peach,Pineapple",1.4,1.5,1.6,2.5,1.6,2.4,1.4,1.7,2.5,2.1,4.9
CusID- 55,"26 Oct, 2022",12:12:30,Linda,\Johnson,Male,bethharris@example.org,251|7-3279176,Tokelau,"Kentucky, , ",n,"Blueberry,Cherry,Grapes,Banana,Orange",1.7,1.8,1.4,1.9,2.4,2.5,2.2,2.5,1.7,2.3,9.9
CusID- 56,"26 Aug, 2021",22:26:04,George,_King,m,jessicamurray@example.net,84-26\3329486,Eritrea,"Georgia, , ",y,"Cherry,Banana,Strawberry",2.2,1.3,2.5,2.1,2.2,1.7,1.9,1.9,1.2,2.4,5.9
57,"08 Jun, 2023",03:04:57,Mary,...Edwards,M,tdavis@example.net,0743829-1-509,Saint Vincent and the Grenadines,"Kansas, , ",yes,"Pineapple,Orange",1.7,2.3,2.1,1.3,1.5,2.6,1.4,2.1,1.9,1.9,4.7
CusID- 58,"11 Dec, 2021",11:40:09,Joshua,Hernandez,Female,dflores@example.net,29-63|4708983,Libyan Arab Jamahiriya,"Hawaii, 545 William Garden, 15350",n,"Mango,Banana,Apple",2.5,1.5,2.4,1.9,2.2,2.7,2.3,2.4,1.4,1.4,6.3
CusID- 59,"17 Jan, 2023",12:51:40,Sarah,\Carter,Male,xallen@example.net,6518802\37-74,Mozambique,"Maryland, 74541 Samantha Shoal Apt. 584, 86919",N,"Cherry,Mango,Pineapple,Grapes,Peach",2.5,2.3,2.6,1.7,1.5,1.3,1.7,1.4,1.6,1.8,8.1
CusID- 60,"13 Mar, 2021",09:33:52,Carol,_Moore,m,aguilarpamela@example.org,8797715-89-17,Palau,"New Hampshire, , 18186",Y,"Banana,Grapes,Strawberry",2.2,1.6,1.8,1.8,1.7,2.7,1.8,2.3,1.4,2.4,5.1000000000000005
CusID- 61,"20 Mar, 2021",10:39:58,Emily,_Johnson,Male,daniel81@example.net,0-65586376-70,Ireland,"Nebraska, 3031 Bennett Tunnel Suite 086, 88372",yes,"Mango,Apple,Banana",1.7,2.0,1.6,1.9,1.3,1.4,1.7,2.5,2.1,1.4,5.4
62,"24 Dec, 2022",21:22:01,Daniel,Brown,Male,xscott@example.org,620\71665-344,Somalia,"Arizona, , 80953",no,Pineapple,2.6,1.7,1.7,1.7,2.3,2.4,1.6,2.5,2.4,2.2,2.4
63,"03 Feb, 2022",19:59:43,James,Anderson,M,carterralph@example.net,93646|8039|09,Kenya,"Hawaii, 81441 Klein Manors, 97756",yes,Apple,1.4,1.3,2.0,2.5,1.7,1.3,2.7,1.5,1.9,2.3,1.4
64,"24 Nov, 2021",10:21:02,James,_Perez,F,dixonlance@example.com,864|1-0662443,Iceland,"Delaware, 497 Zamora Fords, ",N,Cherry,2.6,2.4,1.9,1.2,1.6,1.5,1.7,1.5,2.6,2.5,2.5
65,"18 Oct, 2024",12:50:58,Margaret,Mitchell,M,charles24@example.net,9-341-5902184,Saint Helena,"Florida, 2783 Ford Parkway Apt. 297, 82039",N,"Orange,Peach,Strawberry",2.5,2.6,2.2,1.3,2.2,1.8,2.2,2.6,1.4,2.0,5.800000000000001
66,"06 Apr, 2023",08:47:58,Paul,Smith,m,ruizalexander@example.net,48575-\850690,Italy,"Michigan, , 23170",N,"Pineapple,Apple,Strawberry",1.4,2.3,1.8,1.8,1.6,2.6,1.7,2.6,1.3,1.9,5.6
67,"18 May, 2023",10:22:18,Michael,_Hall,Male,coryhughes@example.net,3\56\55660872,Puerto Rico,"North Dakota, 3519 Crystal Mill Apt. 014, 35421",yes,"Orange,Apple",2.6,1.4,2.3,1.5,1.5,1.4,1.4,2.4,1.2,1.4,4.9
68,"24 Sep, 2021",08:27:13,Nancy,\Hill,M,richardmcgrath@example.org,840--76841709,Syrian Arab Republic,"Connecticut, 837 Cole Divide Apt. 746, 14107",N,Strawberry,1.6,1.2,1.2,1.9,1.9,1.6,1.9,1.6,2.2,2.1,1.9
69,"24 Mar, 2022",08:41:17,Patricia,\King,m,daniellozano@example.org,0798\9130\811,Turkey,"Alaska, 22906 Rebecca Mission, ",Y,"Blueberry,Peach",2.7,2.3,2.6,1.5,2.4,1.8,1.9,2.3,2.2,1.4,4.5
70,"30 Apr, 2021",00:35:13,Linda,\Hernandez,M,jwaller@example.net,073\39319|076,Nicaragua,"Florida, 518 Harrison Terrace, 32257",no,"Peach,Pineapple,Grapes,Cherry,Mango",2.1,1.3,2.6,1.6,2.6,2.3,1.6,2.5,2.1,2.1,9.7
71,"27 May, 2024",00:43:00,Paul,|Martinez,M,hmckinney@example.com,0984385|49\81,Sudan,"Tennessee, 864 Duran Circles Apt. 872, 51031",y,Cherry,2.4,2.2,2.7,2.6,1.3,1.5,2.0,2.4,1.4,1.7,1.7
72,"29 Dec, 2023",06:34:44,Barbara,|Jones,Male,kmcmillan@example.net,9|8956|526550,Namibia,"New York, 140 Harris Rapids Apt. 376, 06778",n,Pineapple,1.7,1.8,2.7,1.8,2.7,2.0,2.1,2.0,1.8,1.3,2.0
CusID- 73,"13 Oct, 2021",02:52:15,George,...Brown,M,tylertaylor@example.net,7\|8816440643,Venezuela,"Tennessee, 3907 Hale Forest Suite 895, ",N,"Pineapple,Strawberry,Mango,Blueberry,Banana",2.0,1.3,2.6,2.1,1.7,2.1,1.3,1.7,2.3,2.5,8.1
74,"23 Dec, 2021",02:43:53,Ashley,Johnson,Female,telliott@example.org,3621|332-0109,Antarctica (the territory South of 60 deg S),"North Dakota, 5905 Sheri Roads, 15074",no,"Apple,Mango,Orange",1.5,1.7,1.8,2.5,2.1,1.4,2.2,1.6,1.9,1.5,5.5
75,"24 Jan, 2022",03:41:46,Joseph,\Lopez,M,marksantos@example.org,8|14681\26381,Norfolk Island,"Mississippi, 20643 Michael Extension Suite 266, 01976",N,Strawberry,1.5,1.6,2.7,1.4,2.4,1.6,2.2,2.0,1.3,2.7,2.4
CusID- 76,"20 Apr, 2024",15:06:45,Jessica,\Carter,F,joseph21@example.org,5520-6938-003,Germany,"Maryland, 51002 Donald Forks Suite 422, 33415",n,"Orange,Mango",2.1,1.5,2.3,1.4,1.4,2.4,2.5,2.2,2.1,1.4,4.8
CusID- 77,"07 May, 2022",09:58:53,Andrew,Taylor,M,fmccann@example.org,91\49234|0660,Kiribati,"Arizona, , ",yes,"Pineapple,Grapes,Cherry,Strawberry",1.8,1.8,2.6,1.6,2.3,1.6,1.4,1.5,2.3,2.6,8.100000000000001
CusID- 77,"07 May, 2022",09:58:53,Andrew,Taylor,M,fmccann@example.org,91\49234|0660,Kiribati,"Arizona, , ",yes,"Pineapple,Grapes,Cherry,Strawberry",1.8,1.8,2.6,1.6,2.3,1.6,1.4,1.5,2.3,2.6,8.100000000000001
78,"22 Apr, 2021",18:29:10,Donna,|Moore,M,rivasraymond@example.com,6653\74-45968,Cook Islands,"North Carolina, 810 Caleb Pike, 99474",N,"Pineapple,Peach,Grapes",2.0,1.6,2.3,2.4,1.6,2.5,1.7,1.7,1.6,2.0,6.5
79,"04 Dec, 2024",22:48:05,Elizabeth,Young,F,vwhite@example.net,2381|980|6148,Philippines,"North Dakota, 442 Caroline Hollow, 17765",y,Orange,1.7,2.3,2.4,1.8,1.2,1.3,2.2,2.1,1.2,2.6,2.4
80,"07 Sep, 2024",03:18:28,Joseph,|Garcia,Male,davidjohnson@example.com,592095-005\74,Guinea,"California, , 04893",n,"Banana,Pineapple,Cherry,Strawberry,Mango",1.3,2.3,1.7,1.7,2.4,1.4,1.7,2.4,1.7,1.8,9.6
CusID- 81,"02 May, 2023",14:15:00,Barbara,Hall,M,brandyfoster@example.net,1645|-5406525,Madagascar,"Florida, 5580 Christopher Locks Apt. 534, 25115",n,"Cherry,Peach,Pineapple,Orange",2.3,1.6,1.6,2.7,1.9,2.1,1.2,2.5,1.4,2.3,7.4
CusID- 82,"28 Mar, 2021",13:20:29,James,\Phillips,M,thomastaylor@example.com,78-48-2924194,Morocco,"Iowa, 149 Watts Underpass Suite 865, 87178",Y,"Mango,Banana,Grapes,Cherry",2.0,2.0,2.4,1.5,1.7,1.4,1.5,1.4,2.0,2.2,7.2
83,"08 Jul, 2021",05:15:24,Susan,_Brown,f,yhenry@example.org,31|881828|856,India,"Alaska, , 03269",yes,"Strawberry,Orange,Peach,Banana",1.9,1.4,1.9,1.5,1.3,2.2,2.3,1.3,1.5,1.3,6.1
84,"26 May, 2023",06:36:58,Elizabeth,Miller,Male,hharrington@example.net,81140588|6|46,Sudan,"North Carolina, , 71744",yes,Apple,2.1,1.8,2.2,1.2,1.4,2.3,1.5,1.6,1.8,2.6,2.1
85,"13 Oct, 2024",04:44:16,Sarah,Robinson,Female,qsmith@example.org,6058|28|34337,Martinique,"Arizona, 27874 Edward Ports, ",y,"Apple,Blueberry",1.4,1.9,2.0,1.3,1.4,1.4,2.3,1.6,1.9,1.8,3.0
86,"30 Sep, 2022",18:29:39,Charles,...Adams,F,juliascott@example.com,6423|41669\12,South Africa,"Nebraska, , 48494",N,"Pineapple,Orange,Strawberry",2.6,1.6,1.3,2.7,1.2,2.6,2.1,1.3,2.0,1.9,5.1000000000000005
87,"12 Jan, 2021",07:40:17,James,...Hill,M,goodwinjillian@example.net,6-938712|1206,Marshall Islands,"Vermont, 48464 Eaton Alley, ",N,Peach,2.1,1.5,1.7,1.7,2.3,2.0,2.6,1.9,2.1,1.5,2.1
88,"01 Feb, 2021",08:46:43,Sandra,Thomas,F,lcamacho@example.net,199\21441\682,Sweden,"West Virginia, , ",Y,Peach,1.9,1.6,2.4,2.0,1.9,2.0,1.6,1.8,2.5,2.4,2.5
89,"14 Nov, 2024",01:19:17,Linda,\Lee,F,deborah74@example.com,6289\89-14260,Western Sahara,"Illinois, 293 Jones Burgs, 65309",n,"Apple,Grapes",2.1,1.4,2.5,2.4,1.4,1.5,1.4,1.8,2.5,2.7,4.5
90,"09 Jan, 2022",14:20:05,Michael,\Harris,Male,jacksonmarcus@example.com,5037\7070|069,Syrian Arab Republic,"West Virginia, , 20856",n,"Pineapple,Apple,Strawberry",2.5,1.5,1.8,1.3,1.8,2.1,1.9,2.4,2.6,2.6,6.3999999999999995
91,"18 Jun, 2022",08:31:40,Joseph,_Davis,Male,sharon61@example.org,64873402|-187,Poland,"Massachusetts, 57996 Kathryn Camp, 52076",N,Strawberry,2.3,2.3,2.6,2.4,2.1,2.4,1.5,1.3,1.2,1.7,2.1
CusID- 92,"26 Oct, 2024",06:44:40,Paul,...Evans,F,alan48@example.com,335|46-442874,Swaziland,"Vermont, , 01944",yes,"Blueberry,Grapes,Peach",2.6,2.3,2.1,1.9,1.9,2.0,1.5,2.6,2.0,1.2,6.5
