Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Orange,Total,state_address,street,Zip_Code
48,2022-11-17,04:24:43,Michael,White,Male,zsims@example.org,079-150-22825,New Zealand,YES,Orange,1.6,1.6,Florida, 0470 Garcia Rest Apt. 535, 56414
239,2022-11-22,01:54:09,Emily,Roberts,Male,daniel48@example.com,545-156-72181,Zambia,YES,"Peach,Cherry,Orange",2.1,6.1,Nevada, 66925 Geoffrey Lodge Apt. 752, 27070
376,2022-12-02,10:06:15,Michael,Hall,Female,ysellers@example.net,451-324-49341,Vanuatu,YES,"Blueberry,Apple,Orange",2.0,5.2,Montana, 327 Erica Union Apt. 319, 
358,2022-12-04,15:09:49,Kimberly,Jones,Female,williamreeves@example.com,920-053-09843,Iraq,YES,"Cherry,Mango,Pineapple,Orange,Strawberry",1.6,9.9,Illinois, 2699 Derek Passage Suite 274, 74986
188,2022-12-08,08:36:46,Steven,Green,Male,scott21@example.net,236-380-00086,Fiji,YES,"Cherry,Orange",1.5,3.0,Kansas, 561 Autumn Extension, 
450,2023-03-06,12:37:53,Dorothy,Miller,Male,obaker@example.com,304-654-58144,Svalbard & Jan Mayen Islands,YES,"Strawberry,Blueberry,Orange",1.3,5.7,Georgia, , 78933
248,2023-03-24,11:23:05,Paul,Lewis,Female,wwilson@example.net,225-914-25342,Benin,YES,"Strawberry,Apple,Cherry,Grapes,Orange",1.4,8.6,Florida, , 
216,2023-04-15,23:29:07,Christopher,Roberts,Male,howardjoseph@example.net,758-876-53502,Antarctica (the territory South of 60 deg S),YES,"Orange,Peach,Apple,Strawberry",1.2,7.4,Oklahoma, 097 Linda Loop Suite 034, 36244
105,2023-05-15,20:48:32,Linda,Wright,Female,smathis@example.com,195-743-20465,Sudan,YES,"Apple,Blueberry,Orange",2.0,6.2,South Carolina, 341 Nichole Alley, 
67,2023-05-18,10:22:18,Michael,Hall,Male,coryhughes@example.net,356-556-60872,Puerto Rico,YES,"Orange,Apple",2.3,4.9,North Dakota, 3519 Crystal Mill Apt. 014, 35421
57,2023-06-08,03:04:57,Mary,Edwards,Male,tdavis@example.net,074-382-91509,Saint Vincent and the Grenadines,YES,"Pineapple,Orange",2.1,4.7,Kansas, , 
304,2023-06-24,16:50:10,Joseph,Adams,Female,kristina84@example.org,664-943-30452,Kenya,YES,"Grapes,Mango,Orange,Peach",1.4,7.699999999999999,Hawaii, 515 Fields Roads Apt. 192, 
349,2023-08-31,01:46:42,Robert,Mitchell,Female,kirkbrian@example.net,773-235-04010,Indonesia,YES,"Pineapple,Strawberry,Orange",2.6,6.0,New York, , 08043
149,2023-10-07,21:36:08,John,Lewis,Female,meghanjacobs@example.com,840-819-76534,Colombia,YES,"Orange,Strawberry,Banana,Pineapple,Apple",2.3,10.7,North Dakota, , 61767
483,2023-10-09,07:24:37,Linda,Phillips,Male,enoble@example.org,772-841-88838,Bolivia,YES,"Mango,Orange",2.6,4.1,New Jersey, , 37516
253,2023-10-30,15:18:37,Jessica,Campbell,Male,greenemelissa@example.net,654-920-86123,Netherlands,YES,"Grapes,Blueberry,Orange",1.3,4.4,Connecticut, 954 Campbell Manors Apt. 478, 
111,2023-11-28,22:08:11,Donna,Wright,Male,thomasmann@example.com,626-131-06523,Palestinian Territory,YES,"Orange,Cherry,Banana,Grapes",1.8,8.4,West Virginia, 270 Taylor Wall Suite 680, 69598
451,2023-12-27,06:14:02,Kevin,Lopez,Female,christopher56@example.net,609-305-70858,Seychelles,YES,"Mango,Strawberry,Orange,Grapes,Banana",2.4,9.5,Florida, , 13825
171,2023-12-27,10:35:30,Carol,White,Male,kentconrad@example.org,037-164-13694,Antigua and Barbuda,YES,"Apple,Mango,Orange",2.1,5.0,New York, , 80229
15,2024-01-26,12:49:04,Thomas,White,Female,todddavis@example.com,137-303-23277,Norway,YES,"Banana,Orange",2.1,4.4,Washington, 95012 Tracie Extensions, 37374
226,2024-02-04,13:49:45,William,Davis,Male,xwalker@example.com,102-237-32111,Aruba,YES,"Pineapple,Blueberry,Cherry,Strawberry,Orange",2.3,9.4,Pennsylvania, 9859 Myers View Apt. 156, 
296,2024-02-16,13:53:10,Lisa,Martin,Female,hudsoncassandra@example.net,479-627-45435,Somalia,YES,"Cherry,Orange,Peach,Mango",2.2,7.9,Mississippi, 492 Tammy Road, 
225,2024-02-16,22:32:08,Andrew,Carter,Male,ohouse@example.net,330-032-69457,Yemen,YES,"Cherry,Orange,Blueberry,Pineapple,Grapes",2.5,10.2,Pennsylvania, , 
306,2024-03-09,05:16:32,Donald,Baker,Female,fwheeler@example.net,153-394-36007,Botswana,YES,"Peach,Strawberry,Orange,Cherry,Grapes",2.2,9.6,Connecticut, 3605 Scott Green Suite 586, 
429,2024-04-02,08:51:16,Jennifer,Anderson,Female,hamptonkayla@example.org,233-459-70564,Mauritius,YES,"Blueberry,Orange",1.8,3.8,Washington, 7101 Garcia Prairie, 72024
212,2024-04-26,19:59:15,Robert,Perez,Male,wandamack@example.com,397-141-56924,Croatia,YES,"Orange,Strawberry,Cherry,Peach",2.2,8.6,Oregon, 52363 Brandi Drive, 73129
136,2024-06-07,12:48:34,Paul,Garcia,Male,zstokes@example.org,256-836-49408,United States of America,YES,Orange,2.4,2.4,Minnesota, 8752 Oliver Wells, 11210
300,2024-06-10,14:08:35,Elizabeth,Perez,Male,nicholasshaw@example.org,104-432-55952,Uzbekistan,YES,"Grapes,Orange",1.7,3.8,New York, 53884 Michelle Locks Apt. 462, 20491
433,2024-06-10,15:48:53,Kevin,King,Female,michelevillanueva@example.net,330-317-45725,Congo,YES,"Pineapple,Cherry,Apple,Peach,Orange",2.3,9.4,Iowa, 1460 French Radial, 
118,2024-06-14,00:32:03,Brian,Thompson,Female,cfoster@example.org,684-818-28519,Palestinian Territory,YES,"Banana,Peach,Orange",1.7,5.6,Oregon, 10548 Felicia Route Apt. 439, 37370
295,2024-07-13,15:25:58,Sandra,Thompson,Female,andersonjohn@example.org,430-884-07453,Ukraine,YES,"Apple,Orange,Mango,Pineapple,Blueberry",1.7,9.1,North Dakota, 61913 Mathews Port, 07747
20,2024-08-16,21:52:05,Jennifer,King,Male,phicks@example.com,302-347-81127,Palestinian Territory,YES,"Peach,Orange",2.3,4.199999999999999,Tennessee, , 98804
181,2024-09-17,15:39:35,Daniel,Mitchell,Female,zrosales@example.com,277-820-22202,Chad,YES,Orange,2.1,2.1,Wisconsin, , 
401,2024-09-29,12:52:46,Lisa,Williams,Male,hernandezjoshua@example.org,504-598-35899,Bahamas,YES,"Orange,Peach",2.1,4.5,Michigan, 16874 Zavala Prairie Apt. 200, 23482
302,2024-10-14,20:04:11,Steven,Phillips,Male,claudiagilbert@example.org,316-692-70439,Norfolk Island,YES,Orange,1.8,1.8,Nebraska, , 78462
52,2024-10-16,06:53:22,Robert,Hall,Female,krista13@example.com,560-562-16475,Malawi,YES,"Grapes,Orange,Strawberry",1.6,5.300000000000001,California, , 50402
49,2024-10-20,11:22:05,Kenneth,Jackson,Male,gbenson@example.org,749-431-04580,Korea,YES,"Orange,Grapes,Pineapple,Strawberry",1.6,6.199999999999999,Indiana, 23673 Brown Lane, 81844
79,2024-12-04,22:48:05,Elizabeth,Young,Female,vwhite@example.net,238-198-06148,Philippines,YES,Orange,2.4,2.4,North Dakota, 442 Caroline Hollow, 17765
379,2024-12-16,21:25:22,Amanda,Collins,Female,jeremyflores@example.net,525-461-71034,New Caledonia,YES,"Blueberry,Grapes,Orange",1.8,6.0,Ohio, 567 Joshua Isle Apt. 406, 84823
434,2024-12-29,11:51:49,Jessica,Evans,Female,charlesalicia@example.com,125-444-18185,Ukraine,YES,"Orange,Apple,Grapes,Banana",2.6,7.1000000000000005,New Jersey, , 93722
