Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Grapes,Total,state_address,street,Zip_Code
347,2021-12-02,15:42:29,Lisa,Wright,Female,froach@example.net,653-615-12433,Slovenia,YES,"Grapes,Strawberry,Cherry,Pineapple,Apple",1.7,9.3,North Carolina, , 63748
104,2021-12-27,01:05:36,Donna,Martin,Male,lynn79@example.net,167-257-17772,Maldives,YES,"Strawberry,Grapes,Cherry,Apple,Blueberry",2.1,9.8,New Hampshire, 1837 Martin Avenue Apt. 465, 57513
130,2022-02-11,02:00:47,Amanda,Martin,Male,lmarsh@example.org,263-039-17547,Isle of Man,YES,"Peach,Banana,Grapes,Mango",2.6,7.7,Tennessee, , 10870
488,2022-02-28,16:16:34,Dorothy,Campbell,Male,leejerry@example.net,415-001-27908,Moldova,YES,"Peach,Grapes",2.0,4.7,Mississippi, 478 Porter Crossroad, 
22,2022-03-17,15:03:08,Thomas,Garcia,Female,jessica23@example.com,330-673-54928,India,YES,"Grapes,Mango",1.6,3.3,Maryland, 538 James Prairie Apt. 804, 40380
77,2022-05-07,09:58:53,Andrew,Taylor,Male,fmccann@example.org,914-923-40660,Kiribati,YES,"Pineapple,Grapes,Cherry,Strawberry",1.6,8.100000000000001,Arizona, , 
218,2022-05-08,23:57:23,Robert,Anderson,Male,kristin60@example.net,732-623-50812,Kyrgyz Republic,YES,"Orange,Banana,Grapes",2.0,5.7,Virginia, , 90979
423,2022-05-17,13:47:54,Michael,Hernandez,Female,lisa73@example.com,073-111-20688,Ethiopia,YES,"Orange,Grapes,Strawberry",1.7,5.4,Rhode Island, 87816 Bowen Dale, 
148,2022-06-11,10:09:08,Kevin,Perez,Male,warrencharles@example.org,763-169-90435,Liechtenstein,YES,"Orange,Blueberry,Pineapple,Grapes,Apple",2.3,10.4,Delaware, 882 Brian Mountains, 52791
184,2022-07-12,04:09:00,Lisa,Parker,Male,jmcclure@example.net,548-159-71627,Martinique,YES,"Mango,Banana,Orange,Grapes,Pineapple",2.6,8.9,South Dakota, 5265 Rebecca Orchard, 48313
155,2022-08-17,00:16:43,Matthew,Smith,Female,ugomez@example.net,410-158-23283,Svalbard & Jan Mayen Islands,YES,"Strawberry,Grapes,Banana,Orange",2.4,8.6,California, , 36097
271,2022-09-18,11:08:51,Mary,Jones,Female,brownlisa@example.net,326-115-30488,Libyan Arab Jamahiriya,YES,"Apple,Grapes",1.2,3.2,Wisconsin, , 84635
41,2022-09-30,18:08:53,Nancy,Rodriguez,Male,wreed@example.net,301-218-36399,Bermuda,YES,"Orange,Grapes,Cherry",2.2,5.6,Kentucky, , 44077
305,2022-11-16,04:49:10,Paul,Jackson,Female,michaelwilliams@example.net,959-017-31214,Seychelles,YES,"Grapes,Cherry,Strawberry,Pineapple,Peach",1.5,10.1,Kentucky, 6589 Gail Cove Suite 159, 31089
12,2022-11-20,21:51:01,Mary,Edwards,Male,amanda87@example.com,448-251-86980,Ghana,YES,"Cherry,Strawberry,Grapes,Blueberry",2.2,7.1000000000000005,Wisconsin, 0969 Clark Shore, 
390,2023-02-05,13:40:15,Richard,Perez,Female,gordonliu@example.com,177-857-86323,Moldova,YES,"Pineapple,Grapes,Mango",2.2,5.9,Oklahoma, 131 Arnold Orchard Suite 768, 76985
248,2023-03-24,11:23:05,Paul,Lewis,Female,wwilson@example.net,225-914-25342,Benin,YES,"Strawberry,Apple,Cherry,Grapes,Orange",1.2,8.6,Florida, , 
45,2023-03-31,02:59:00,Daniel,Smith,Male,pearsonlisa@example.org,644-172-99471,South Georgia and the South Sandwich Islands,YES,"Pineapple,Grapes",2.4,4.5,Pennsylvania, 312 Ray Circle, 72411
426,2023-05-15,22:35:20,Charles,Lopez,Female,ericpatterson@example.net,428-173-81624,Thailand,YES,"Pineapple,Banana,Grapes,Cherry",2.1,8.2,Kentucky, , 91174
36,2023-06-03,15:11:43,Robert,Anderson,Female,denniscordova@example.com,720-753-78700,Rwanda,YES,"Strawberry,Grapes",1.4,3.4,New Mexico, , 27004
304,2023-06-24,16:50:10,Joseph,Adams,Female,kristina84@example.org,664-943-30452,Kenya,YES,"Grapes,Mango,Orange,Peach",1.8,7.699999999999999,Hawaii, 515 Fields Roads Apt. 192, 
410,2023-06-28,19:20:08,Nancy,Turner,Male,buchananmichael@example.net,492-041-18758,Guadeloupe,YES,"Grapes,Pineapple,Strawberry",2.4,6.300000000000001,Massachusetts, 9649 Christopher Isle Apt. 663, 17882
459,2023-06-30,19:48:13,Jennifer,Edwards,Female,millershelly@example.net,712-602-30391,Slovenia,YES,"Strawberry,Grapes",1.2,3.6,Tennessee, , 28844
177,2023-09-13,15:31:40,Mark,Roberts,Male,stephen01@example.com,830-392-90355,Paraguay,YES,"Blueberry,Mango,Peach,Grapes,Banana",1.6,9.6,Washington, , 96306
253,2023-10-30,15:18:37,Jessica,Campbell,Male,greenemelissa@example.net,654-920-86123,Netherlands,YES,"Grapes,Blueberry,Orange",1.6,4.4,Connecticut, 954 Campbell Manors Apt. 478, 
111,2023-11-28,22:08:11,Donna,Wright,Male,thomasmann@example.com,626-131-06523,Palestinian Territory,YES,"Orange,Cherry,Banana,Grapes",2.6,8.4,West Virginia, 270 Taylor Wall Suite 680, 69598
168,2023-12-05,06:41:43,Paul,Harris,Male,vcole@example.com,414-089-42348,Mozambique,YES,"Peach,Apple,Grapes,Strawberry,Blueberry",2.4,8.999999999999998,New Mexico, 9453 Conley Ports Apt. 905, 62701
451,2023-12-27,06:14:02,Kevin,Lopez,Female,christopher56@example.net,609-305-70858,Seychelles,YES,"Mango,Strawberry,Orange,Grapes,Banana",1.6,9.5,Florida, , 13825
387,2024-01-28,04:44:06,Susan,Williams,Female,tateteresa@example.com,361-580-11209,Uruguay,YES,"Apple,Mango,Grapes",2.2,5.7,New Mexico, , 14103
225,2024-02-16,22:32:08,Andrew,Carter,Male,ohouse@example.net,330-032-69457,Yemen,YES,"Cherry,Orange,Blueberry,Pineapple,Grapes",2.5,10.2,Pennsylvania, , 
306,2024-03-09,05:16:32,Donald,Baker,Female,fwheeler@example.net,153-394-36007,Botswana,YES,"Peach,Strawberry,Orange,Cherry,Grapes",1.4,9.6,Connecticut, 3605 Scott Green Suite 586, 
400,2024-03-14,01:26:23,Sarah,Rodriguez,Female,craiggary@example.org,909-661-35341,Romania,YES,"Grapes,Pineapple",2.4,4.4,Minnesota, , 45909
106,2024-04-21,17:50:41,James,Walker,Female,millernicholas@example.org,111-394-89057,Nigeria,YES,"Pineapple,Grapes",1.3,3.6,Oregon, 945 Jefferson Oval, 81758
146,2024-04-28,09:41:32,Elizabeth,Campbell,Male,smyers@example.com,654-423-05876,Ukraine,YES,"Cherry,Grapes,Pineapple,Apple",1.5,7.6,Alaska, 9564 Forbes Lane Apt. 537, 
419,2024-06-06,10:24:59,Patricia,Hill,Female,ujones@example.net,060-544-72024,Iceland,YES,"Blueberry,Grapes,Mango,Apple",2.5,8.4,Arizona, 2772 Ellis Groves Apt. 084, 
300,2024-06-10,14:08:35,Elizabeth,Perez,Male,nicholasshaw@example.org,104-432-55952,Uzbekistan,YES,"Grapes,Orange",2.1,3.8,New York, 53884 Michelle Locks Apt. 462, 20491
47,2024-06-22,16:14:25,Andrew,Brown,Male,david53@example.com,106-324-29476,Antigua and Barbuda,YES,"Grapes,Strawberry,Blueberry,Cherry,Pineapple",1.3,8.4,Nevada, 14322 Mitchell Forges Apt. 254, 
445,2024-07-12,16:10:44,Joshua,Hall,Male,byrdkerri@example.net,081-752-04664,Bosnia and Herzegovina,YES,"Mango,Grapes,Blueberry,Strawberry",2.6,9.2,West Virginia, , 24808
381,2024-09-08,15:42:53,Barbara,Johnson,Male,asmith@example.com,825-107-89343,Hungary,YES,"Grapes,Strawberry,Cherry",1.3,6.0,Montana, 7565 Angela Walk Apt. 476, 
350,2024-09-15,01:27:09,Christopher,Carter,Female,egarcia@example.com,792-833-49230,Antarctica (the territory South of 60 deg S),YES,"Banana,Grapes,Strawberry,Pineapple",1.3,7.6,Kansas, , 91387
151,2024-10-09,12:06:10,Kenneth,Phillips,Female,karen15@example.net,411-149-03980,Taiwan,YES,"Grapes,Cherry,Pineapple,Blueberry,Apple",1.6,9.6,Maryland, 5181 Julian Overpass, 
52,2024-10-16,06:53:22,Robert,Hall,Female,krista13@example.com,560-562-16475,Malawi,YES,"Grapes,Orange,Strawberry",1.3,5.300000000000001,California, , 50402
49,2024-10-20,11:22:05,Kenneth,Jackson,Male,gbenson@example.org,749-431-04580,Korea,YES,"Orange,Grapes,Pineapple,Strawberry",2.0,6.199999999999999,Indiana, 23673 Brown Lane, 81844
92,2024-10-26,06:44:40,Paul,Evans,Female,alan48@example.com,335-464-42874,Swaziland,YES,"Blueberry,Grapes,Peach",1.9,6.5,Vermont, , 01944
388,2024-11-06,09:11:43,Kevin,Campbell,Male,angelameyer@example.org,445-927-38901,Guernsey,YES,"Cherry,Grapes,Strawberry",2.7,6.1,South Carolina, , 37908
266,2024-11-19,21:15:56,David,Thomas,Male,bradley95@example.net,506-281-45359,Canada,YES,"Grapes,Blueberry",1.3,4.0,Texas, , 99623
145,2024-11-28,15:45:05,Karen,White,Male,huntsue@example.net,162-509-13812,Tuvalu,YES,"Apple,Pineapple,Grapes",2.0,6.1,Michigan, 35787 Richard Center, 48494
379,2024-12-16,21:25:22,Amanda,Collins,Female,jeremyflores@example.net,525-461-71034,New Caledonia,YES,"Blueberry,Grapes,Orange",1.8,6.0,Ohio, 567 Joshua Isle Apt. 406, 84823
434,2024-12-29,11:51:49,Jessica,Evans,Female,charlesalicia@example.com,125-444-18185,Ukraine,YES,"Orange,Apple,Grapes,Banana",1.4,7.1000000000000005,New Jersey, , 93722
