Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Blueberry,Total,state_address,street,Zip_Code
461,2022-04-05,01:29:41,Edward,Lopez,Male,tdawson@example.org,432-044-47614,Portugal,YES,"Apple,Orange,Blueberry,Cherry",2.7,9.7,Illinois, 13128 Anna Fork Suite 351, 51054
273,2022-04-09,02:00:45,Melissa,Wright,Female,davidmartin@example.net,550-935-46602,French Guiana,YES,"Blueberry,Mango",1.9,4.0,Oregon, , 49879
267,2022-05-18,17:22:20,Jennifer,Anderson,Female,cody31@example.net,059-749-25813,France,YES,"Blueberry,Apple,Banana",2.3,6.2,Oregon, 69961 Tucker Lights Apt. 702, 23938
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",2.1,8.7,Florida, , 30282
148,2022-06-11,10:09:08,Kevin,Perez,Male,warrencharles@example.org,763-169-90435,Liechtenstein,YES,"Orange,Blueberry,Pineapple,Grapes,Apple",2.6,10.4,Delaware, 882 Brian Mountains, 52791
250,2022-06-26,22:19:11,Mark,Mitchell,Female,allen96@example.org,860-111-98707,Bangladesh,YES,"Blueberry,Cherry,Orange",1.7,4.8,Arizona, , 47967
496,2022-08-15,06:44:40,Nancy,Johnson,Female,oneillsean@example.org,458-510-22239,Gambia,YES,"Blueberry,Cherry,Apple",2.6,6.5,Texas, 9356 Thompson Inlet Apt. 054, 09757
158,2022-09-12,00:52:57,Matthew,Nelson,Female,emily69@example.com,863-889-60229,Bahamas,YES,"Orange,Banana,Blueberry,Strawberry",1.7,6.3,Utah, 35481 Jones Drives Suite 295, 77020
236,2022-10-28,06:34:27,Edward,Miller,Female,nhammond@example.org,288-816-00368,Zambia,YES,"Banana,Orange,Blueberry",1.9,5.9,Oregon, , 46949
12,2022-11-20,21:51:01,Mary,Edwards,Male,amanda87@example.com,448-251-86980,Ghana,YES,"Cherry,Strawberry,Grapes,Blueberry",1.2,7.1000000000000005,Wisconsin, 0969 Clark Shore, 
438,2022-12-01,21:43:14,Sarah,Phillips,Female,qreeves@example.com,377-137-56929,Mexico,YES,Blueberry,1.8,1.8,Washington, , 99764
376,2022-12-02,10:06:15,Michael,Hall,Female,ysellers@example.net,451-324-49341,Vanuatu,YES,"Blueberry,Apple,Orange",1.8,5.2,Montana, 327 Erica Union Apt. 319, 
214,2023-01-04,03:50:33,Melissa,Turner,Male,jsoto@example.net,123-908-81700,Sierra Leone,YES,Blueberry,2.0,2.0,Oklahoma, 655 William Inlet Suite 670, 72966
312,2023-01-31,08:23:09,Sarah,White,Male,ppaul@example.net,592-852-04078,Haiti,YES,"Blueberry,Peach,Pineapple,Cherry,Strawberry",1.3,10.1,Oregon, 56110 Johnson Springs, 59085
450,2023-03-06,12:37:53,Dorothy,Miller,Male,obaker@example.com,304-654-58144,Svalbard & Jan Mayen Islands,YES,"Strawberry,Blueberry,Orange",2.2,5.7,Georgia, , 78933
199,2023-05-01,01:44:10,Jennifer,King,Female,kristinafleming@example.org,658-083-76045,Cape Verde,YES,"Apple,Blueberry,Strawberry",2.2,7.2,Delaware, 6892 Phyllis Underpass, 
105,2023-05-15,20:48:32,Linda,Wright,Female,smathis@example.com,195-743-20465,Sudan,YES,"Apple,Blueberry,Orange",1.7,6.2,South Carolina, 341 Nichole Alley, 
177,2023-09-13,15:31:40,Mark,Roberts,Male,stephen01@example.com,830-392-90355,Paraguay,YES,"Blueberry,Mango,Peach,Grapes,Banana",1.3,9.6,Washington, , 96306
32,2023-09-29,14:16:36,Susan,Perez,Female,larryhicks@example.org,758-603-99795,Venezuela,YES,"Banana,Blueberry,Mango",2.1,5.7,Missouri, , 03018
253,2023-10-30,15:18:37,Jessica,Campbell,Male,greenemelissa@example.net,654-920-86123,Netherlands,YES,"Grapes,Blueberry,Orange",1.5,4.4,Connecticut, 954 Campbell Manors Apt. 478, 
168,2023-12-05,06:41:43,Paul,Harris,Male,vcole@example.com,414-089-42348,Mozambique,YES,"Peach,Apple,Grapes,Strawberry,Blueberry",1.2,8.999999999999998,New Mexico, 9453 Conley Ports Apt. 905, 62701
143,2023-12-10,15:54:35,James,Young,Male,briggs@example.com,648-647-81473,Monaco,YES,"Blueberry,Banana,Strawberry,Apple,Peach",2.0,9.8,Nebraska, 714 William Drives Suite 212, 43371
226,2024-02-04,13:49:45,William,Davis,Male,xwalker@example.com,102-237-32111,Aruba,YES,"Pineapple,Blueberry,Cherry,Strawberry,Orange",1.8,9.4,Pennsylvania, 9859 Myers View Apt. 156, 
225,2024-02-16,22:32:08,Andrew,Carter,Male,ohouse@example.net,330-032-69457,Yemen,YES,"Cherry,Orange,Blueberry,Pineapple,Grapes",1.4,10.2,Pennsylvania, , 
477,2024-03-04,21:25:36,Matthew,Rodriguez,Female,frenchemma@example.org,938-212-09626,Rwanda,YES,"Blueberry,Cherry,Mango,Pineapple",1.6,9.1,Washington, , 19502
429,2024-04-02,08:51:16,Jennifer,Anderson,Female,hamptonkayla@example.org,233-459-70564,Mauritius,YES,"Blueberry,Orange",2.0,3.8,Washington, 7101 Garcia Prairie, 72024
169,2024-05-23,13:04:12,Barbara,Perez,Female,alexanderrichardson@example.net,471-644-50578,Qatar,YES,Blueberry,2.3,2.3,Louisiana, 8164 Ruben Inlet Apt. 715, 
419,2024-06-06,10:24:59,Patricia,Hill,Female,ujones@example.net,060-544-72024,Iceland,YES,"Blueberry,Grapes,Mango,Apple",2.2,8.4,Arizona, 2772 Ellis Groves Apt. 084, 
47,2024-06-22,16:14:25,Andrew,Brown,Male,david53@example.com,106-324-29476,Antigua and Barbuda,YES,"Grapes,Strawberry,Blueberry,Cherry,Pineapple",1.6,8.4,Nevada, 14322 Mitchell Forges Apt. 254, 
445,2024-07-12,16:10:44,Joshua,Hall,Male,byrdkerri@example.net,081-752-04664,Bosnia and Herzegovina,YES,"Mango,Grapes,Blueberry,Strawberry",2.3,9.2,West Virginia, , 24808
295,2024-07-13,15:25:58,Sandra,Thompson,Female,andersonjohn@example.org,430-884-07453,Ukraine,YES,"Apple,Orange,Mango,Pineapple,Blueberry",1.4,9.1,North Dakota, 61913 Mathews Port, 07747
385,2024-09-16,02:14:13,Deborah,Scott,Female,clarkejennifer@example.org,562-853-54223,Pakistan,YES,"Blueberry,Mango,Apple,Cherry",1.2,6.699999999999999,Alaska, 142 Dustin Skyway, 07183
151,2024-10-09,12:06:10,Kenneth,Phillips,Female,karen15@example.net,411-149-03980,Taiwan,YES,"Grapes,Cherry,Pineapple,Blueberry,Apple",1.5,9.6,Maryland, 5181 Julian Overpass, 
85,2024-10-13,04:44:16,Sarah,Robinson,Female,qsmith@example.org,605-828-34337,Martinique,YES,"Apple,Blueberry",1.6,3.0,Arizona, 27874 Edward Ports, 
92,2024-10-26,06:44:40,Paul,Evans,Female,alan48@example.com,335-464-42874,Swaziland,YES,"Blueberry,Grapes,Peach",2.6,6.5,Vermont, , 01944
266,2024-11-19,21:15:56,David,Thomas,Male,bradley95@example.net,506-281-45359,Canada,YES,"Grapes,Blueberry",2.7,4.0,Texas, , 99623
53,2024-11-29,03:48:51,Amanda,Robinson,Male,william71@example.net,698-068-30240,Montenegro,YES,"Peach,Strawberry,Mango,Blueberry",2.5,8.2,Mississippi, 7278 Michael Well, 35914
379,2024-12-16,21:25:22,Amanda,Collins,Female,jeremyflores@example.net,525-461-71034,New Caledonia,YES,"Blueberry,Grapes,Orange",2.4,6.0,Ohio, 567 Joshua Isle Apt. 406, 84823
93,2024-12-29,13:46:56,Matthew,Hernandez,Female,alyssablack@example.org,028-217-02531,Myanmar,YES,"Blueberry,Pineapple,Apple,Strawberry",2.0,8.2,Arkansas, 785 Harris Bypass, 68019
